class,cloud,openWater,lightNearShoreSediment,offShoreSediment,darkNearShoreSediment,mission
cloud,148,0,0,0,0,Sentinel 2
openWater,0,65,0,1,0,Sentinel 2
lightNearShoreSediment,0,0,25,5,3,Sentinel 2
offShoreSediment,0,1,1,44,2,Sentinel 2
darkNearShoreSediment,0,1,3,0,11,Sentinel 2
