mission,date,missDate,area_ha,classified_ha,openWater_ha,cloud_ha,lightNSSed_ha,darkNSSed_ha,offShoreSed_ha,perc_AOI_classified,openWater_perc_class_area,cloud_perc_class_area,lightNSSed_perc_class_area,darkNSSed_perc_class_area,offShoreSed_perc_class_area,openWater_perc_aoi_area,cloud_perc_aoi_area,lightNSSed_perc_aoi_area,darkNSSed_perc_aoi_area,offShoreSed_perc_aoi_area,date_flag
Sentinel-2B,2018-12-10,Sentinel-2B_2018-12-10,77102.78693711074,18113.59377742126,841.9439920359314,14302.94243154627,1036.8762047226817,452.505375457921,1479.325773658493,23.492787351766808,4.6481333432873,78.96247761377425,5.724298653617573,2.4981534918927717,8.166936897428297,1.0919760821650546,18.550486953490452,1.3447973100744268,0.5868858875711058,1.9186411184658116,winter
Sentinel-2B,2018-12-13,Sentinel-2B_2018-12-13,77102.78693711074,77304.80474010475,6504.5507945283125,63126.20538787613,2950.74026212103,3170.37452396881,1552.9337716101263,100.26201102582554,8.414161081444185,81.65883815385547,3.8170205229044756,4.101135155347026,2.0088450864484027,8.43620711120829,81.87279331337962,3.8270215375325094,4.111880581638043,2.0141084820666526,winter
Sentinel-2A,2018-12-15,Sentinel-2A_2018-12-15,77102.78693711074,17708.742846315577,4563.804490427717,967.4628766886274,1272.3327974208771,2709.5315379455456,8195.611143833421,22.967707847914497,25.771476439826706,5.463193435495137,7.184771999134848,15.300530147510058,46.2800279780367,5.919117416793515,1.2547703074309662,1.650177442300058,3.5141810634621913,10.629461617928559,winter
Sentinel-2B,2018-12-16,Sentinel-2B_2018-12-16,77102.78693711074,15186.78160099616,13227.522166121646,1.609048663286994,10.085724849205167,85.49783457892035,1862.066826783073,19.696799823050924,87.09891610776836,0.010595060267288299,0.06641120623308104,0.5629753349011893,12.261102290829893,17.155699153794192,0.0020868878119793804,0.013080882351803493,0.11088812476863782,2.4150447743242758,winter
Sentinel-2A,2018-12-18,Sentinel-2A_2018-12-18,77102.78693711074,77309.6720035841,2045.936050538937,64458.84757005869,5998.824793901774,4391.150049997413,414.9135390875901,100.268323720441,2.646416674027652,83.37746869120123,7.759475158067759,5.679949139861618,0.5366903368421413,2.653517637705774,83.601190217203,7.780295670498583,5.695189790712851,0.5381304043212035,winter
Sentinel-2B,2018-12-20,Sentinel-2B_2018-12-20,77102.78693711074,17268.538103902214,0,17268.538103902214,0,0,0,22.396775512132113,0,100,0,0,0,0,22.396775512132113,0,0,0,winter
Sentinel-2A,2018-12-21,Sentinel-2A_2018-12-21,77102.78693711074,15443.725975917923,0.0540282534790039,15439.941544296944,3.722399182630352,0,0.00800418487548828,20.03004896374845,3.498394983390181e-4,99.97549534596197,0.024102986471236616,0,5.1828068485348386e-5,7.007302281183728e-5,20.025140669546236,0.004827839991914358,0,1.0381187494580362e-5,winter
Sentinel-2B,2018-12-23,Sentinel-2B_2018-12-23,77102.78693711074,77309.67200358413,0.1439603443908691,77018.53787851516,240.41276943801935,22.68701153625494,27.89038375030504,100.26832372044106,1.8621259237032464e-4,99.62341823794638,0.31097372839309634,0.029345631598596298,0.03607618946955567,1.8671224492610244e-4,99.89073150019298,0.31180814467071494,0.029424372889088578,0.03617299044333374,winter
Sentinel-2A,2018-12-25,Sentinel-2A_2018-12-25,77102.78693711074,17126.325068127764,0,17080.848161393187,45.461911554919794,0.00399870796203613,0.01099647171020508,22.21232947402658,0,99.73446196686288,0.2654504768190159,2.3348312881657022e-5,6.420800531615277e-5,0,22.153347291227313,0.05896273450141436,5.186204183900247e-6,1.4262093689524355e-5,winter
Sentinel-2B,2018-12-26,Sentinel-2B_2018-12-26,77102.78693711074,15190.442722001351,0,15186.76676033985,3.675961661499622,0,0,19.7015481870863,0,99.97580082602742,0.02419917397256287,0,0,0,19.696780575165214,0.0047676119210813194,0,0,winter
Sentinel-2A,2018-12-28,Sentinel-2A_2018-12-28,77102.78693711074,77309.67200358411,1201.3027372980755,72585.49895542428,1979.5693997955884,1142.042714161871,401.2581969047917,100.26832372044103,1.5538841469181017,93.88928587364745,2.560571463430623,1.477231353547749,0.5190271624567094,1.5580535866724556,94.14121309859914,2.5674420840458514,1.4811951156751098,0.5204198354491127,winter
Sentinel-2B,2018-12-30,Sentinel-2B_2018-12-30,77102.78693711074,17491.745077108735,3.2632471236419756,17145.4101456432,264.8823091316798,26.172036606768614,52.01733860342359,22.686268255615666,0.01865592660570244,98.02000926757857,1.5143275182893472,0.14962507452169357,0.2973822130045683,0.0042323335553404295,22.237082246622208,0.3435444030677287,0.03394434578365625,0.06746492658670275,winter
Sentinel-2A,2018-12-31,Sentinel-2A_2018-12-31,77102.78693711074,15253.16757685788,0,15249.536712705678,3.630864152197744,0,0,19.78290044080923,0,99.97619599906768,0.023804000932281726,0,0,0,19.77819131900386,0.004709121805362595,0,0,winter
Sentinel-2B,2019-01-02,Sentinel-2B_2019-01-02,77102.78693711074,77260.39258826806,11845.53344831844,42805.38876820286,10331.760423306245,7891.705995329799,4386.003953111781,100.20440979816448,15.331961243641384,55.40405288427544,13.37264810232807,10.214426475135657,5.676911294620825,15.363301274674166,55.51730419695112,13.399983105323281,10.235305763677138,5.688515457540136,winter
Sentinel-2A,2019-01-04,Sentinel-2A_2019-01-04,77102.78693711074,17160.491843957323,14006.10648826411,457.4036543334554,347.0101193703901,182.55905134415988,2167.412530645182,22.25664275657683,81.61832781731161,2.6654460635084867,2.0221455336233958,1.0638334437275696,12.630247141828788,18.165499646190817,0.5932388082243238,0.4500617074366334,0.23677360909543396,2.811068985629589,winter
