missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other,area_ha
LANDSAT_5_1984-04-18,77309.54637354844,20009.072541554317,18840.585472963034,1982.6588596183437,10710.145120822632,23797.90634529507,1969.178033292872,77102.78693711074
LANDSAT_5_1984-05-04,77309.54637354845,40645.597114438424,5735.861060703203,2715.576642684097,19254.431180675205,8877.719934595907,80.36044044837396,77102.78693711074
LANDSAT_5_1984-05-20,77309.54637354845,58057.03014956678,6798.10975658184,2657.2785683343936,7704.532505573283,1136.0094105851877,956.5859829084814,77102.78693711074
LANDSAT_5_1984-06-05,75594.7641508034,55458.79132933251,747.1015244703957,1587.5023862491064,14535.678766984745,2564.8351774869225,700.8549662812587,77102.78693711074
LANDSAT_5_1984-06-21,77309.54637354844,29515.074343650394,4309.868781308008,7609.5706533198745,26875.522729235163,7366.35102327587,1633.158842759097,77102.78693711074
LANDSAT_5_1984-07-07,77309.54637354845,1091.4060388876871,62360.247832936424,364.530809645048,8487.638784416704,2763.0217404745467,2242.701167188092,77102.78693711074
LANDSAT_5_1984-07-23,75364.28021042897,38225.564732967905,23463.174136577967,144.97650502404537,2867.9033215242257,5326.865901336933,5335.795612995799,77102.78693711074
LANDSAT_5_1984-08-08,77309.06508834504,22405.865697630885,37365.833726508485,641.9676008156134,12976.081082198947,1967.7716803324179,1951.5453008587626,77102.78693711074
LANDSAT_5_1984-11-12,77309.54637354845,59787.489324074086,3621.8056519068027,2105.049317974322,5335.570117486179,1228.8178639053024,5230.814098198792,77102.78693711074
LANDSAT_5_1984-12-30,77309.54637354845,68607.06678867963,698.0440470572678,300.9754263419708,3782.603465851835,3873.6260286901356,47.23061692624559,77102.78693711074
LANDSAT_5_1985-01-31,77309.54637354845,73594.95584562581,300.61347802973887,74.14354548513629,525.8628322978327,2628.1360957960264,185.83457631244985,77102.78693711074
LANDSAT_5_1985-03-20,75301.26846490375,6790.9117506051925,37299.08840840429,542.7653680903131,11893.520570126333,17997.166045831367,777.8163218457505,77102.78693711074
LANDSAT_5_1985-04-05,75446.78627648497,68452.0174435281,131.47655888488623,187.40363331012665,5065.304838974967,1596.2485046810468,14.33529710545438,77102.78693711074
LANDSAT_5_1985-04-21,77309.54637354844,67771.00995587096,1498.5076812994066,405.9029867460772,3410.5972005166686,3803.0949743590186,420.43357475316236,77102.78693711074
LANDSAT_5_1985-05-07,75474.25891173889,1.7378628181966134,66412.47507556305,569.4494240417134,6107.1092169218,419.3481948617884,1964.1391375315586,77102.78693711074
LANDSAT_5_1985-06-08,75555.91053902694,75539.80721884602,0.0,12.70805389613489,3.3232181890869117,0.045030053710937504,0.0270180419921875,77102.78693711074
LANDSAT_5_1985-06-24,75537.14623819097,361.22094112126143,66478.62457563446,572.136744819446,5403.740331074452,617.5901348775816,2103.8335106625827,77102.78693711074
