missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other
LANDSAT_9_2021-11-06,62549.620611195794,5131.901264981417,47617.99599451193,1297.5387945111306,3627.569454739185,332.26065073153666,4542.354451719485
LANDSAT_9_2022-02-14,76834.0135677863,42556.3690292604,18487.831847228113,1613.4922213164648,2134.624023297549,9235.18855463739,2806.5078920422925
LANDSAT_9_2022-03-02,76639.0239167115,62637.60976658912,6384.497469403159,1192.535539346961,654.254090098887,3847.5867681660216,1922.5402831035276
LANDSAT_9_2022-04-19,77306.92367678123,1263.303323491778,65166.136037177595,855.25315966829,4879.2895443823345,4646.548801950776,496.3928101095364
LANDSAT_9_2022-05-05,77309.52837178636,14.853978546080349,61541.39906939321,1073.3934388414248,4319.396231437568,4310.44776430894,6050.037889255687
LANDSAT_9_2022-05-21,77256.79085905093,12771.53748928635,50088.105737288555,4181.3115289625175,2088.5685753698726,1267.6183910930722,6859.649137048362
LANDSAT_9_2022-06-06,76553.87477082429,19560.992924551832,33701.11344132279,5721.700188828994,3445.0597029343803,3506.157339774776,10618.851173410661
LANDSAT_9_2022-06-22,77309.54637354845,4.289966905601351,66010.71754351183,431.7836796138921,2520.97296379594,3426.8694011129387,4914.912818606333
LANDSAT_9_2022-07-08,77309.53737134997,4.111705363324331,61119.65434590048,1360.3637853165635,3476.6379122131602,2861.198950271766,8487.570672280095
LANDSAT_9_2022-07-24,76864.36375515997,22921.619683506564,45974.91759354461,1813.6418247553208,781.8518637853657,340.7031287249308,5031.629660844913
LANDSAT_9_2022-08-09,77309.52836692247,2.6116350031594657,73024.72870014867,111.22589225690291,1503.94466956203,499.75612430862367,2167.2613456440295
LANDSAT_9_2022-08-25,77226.34575271227,49139.84004819415,24891.886393774937,1085.2147312180605,587.8280005263583,135.03007643075588,1386.5465025644148
LANDSAT_9_2022-09-10,77277.39683664286,37991.76052433037,35700.944005943194,302.48709461546576,829.5941110273017,1278.293093730661,1174.3180069928908
LANDSAT_9_2022-09-26,76705.51663538869,49265.074647449816,17464.882317627802,3444.8753909498323,713.3591280657947,78.27912713010788,5739.04602416527
LANDSAT_9_2022-10-12,76131.26100520394,51811.28804191864,16272.780437259686,2081.309171443482,1833.6750889855546,550.857387045718,3581.3508785493254
LANDSAT_9_2022-10-28,77284.34052682843,179.92853770267044,71620.72150003607,709.6705920902748,2269.527940340573,132.10184224647668,2372.3901144121905
LANDSAT_9_2023-02-01,75533.39361554627,34789.839130935936,21429.361433065158,6417.172919991362,2922.324966328975,3258.549884164719,6716.145281057878
LANDSAT_9_2023-02-17,76879.86175649265,3283.961884595308,51740.53497567012,3318.2844057403463,7955.484951210041,7687.339989946469,2894.2555493286745
LANDSAT_9_2023-03-05,74572.69577251707,1834.9854538373477,52585.85941142639,1337.1935820899675,4070.229679806315,11712.002201769092,3032.4254435896964
LANDSAT_9_2023-04-06,74187.8179781515,37337.54884001365,17962.87460974444,3921.711327162128,2422.9637025043185,866.8230439469316,11675.896454781736
LANDSAT_9_2023-05-08,76626.31088039756,55655.52853611603,8251.12464897497,3268.2286610766105,543.6291262243031,533.2532036270956,8374.546704375374
LANDSAT_9_2023-05-24,77309.4743885576,63685.13971743698,1694.610510256063,4975.272038813357,634.9718653636869,2532.0514494268987,3787.4288072610743
LANDSAT_9_2023-06-09,77107.08836011718,6618.766306145082,48837.68078690939,4587.4241717582945,8704.518787183486,1201.1636856140938,7157.53462250863
LANDSAT_9_2023-07-11,77280.3294011967,216.942707611492,62566.1918065693,489.0847899017464,2504.791922447889,4857.436872091381,6645.881302573632
LANDSAT_9_2021-12-12,22056.474018941637,444.68841006372986,17597.306306019884,72.57196019253604,3643.6500310386173,180.9823603474298,117.27495127996546
LANDSAT_9_2022-01-29,21412.009631612484,18707.609999300756,393.4688240466661,916.6822443946746,56.136919460449185,33.18902829660456,1304.922616113452
LANDSAT_9_2022-04-03,21558.505883570993,10955.882173246358,1822.147659283973,2384.5474834783436,911.7098178154255,3097.803094859334,2386.4156548875767
LANDSAT_9_2022-11-13,21752.061215706108,15596.149019573382,2421.6344011270226,1112.1982727603197,644.4170947498766,68.82533853961534,1908.8370889558314
