missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha
LANDSAT_7_1999-07-25,77309.54637354845,34459.33971065189,20046.397511371622,1527.008920552339,20623.007325651794,653.7929053197474,77102.78693711074
LANDSAT_7_1999-08-10,77309.54637354845,65576.27295779776,9289.863945447512,92.0759709579957,2313.334698628863,37.99880071179676,77102.78693711074
LANDSAT_7_1999-08-26,77309.54637354844,50978.15519071214,18005.31989210304,60.715591979978136,8004.631970535572,260.7237282204581,77102.78693711074
LANDSAT_7_1999-09-11,77309.54637354845,13426.605752071802,56604.65156323055,522.5437313608118,6523.702033434742,232.04329345119746,77102.78693711074
LANDSAT_7_1999-09-27,77309.54637354845,72987.40189487247,3430.3931190866074,61.89674914441867,821.9695274559758,7.885082985160079,77102.78693711074
LANDSAT_7_1999-10-13,77309.54637354847,18658.281062605827,52643.6229844579,952.9669696162471,4692.54879243539,362.1265644326429,77102.78693711074
LANDSAT_7_1999-10-29,77309.54637354844,4483.890062115251,44748.262129987284,907.1332126409583,26412.639684334164,757.6212844697544,77102.78693711074
LANDSAT_7_1999-11-14,77309.54637354844,196.84563540174904,67699.7954164053,867.7163859779669,7187.9275955622525,1357.2613402014663,77102.78693711074
LANDSAT_7_1999-11-30,77309.54637354844,77304.84910624917,0.026883229090073534,0.04498235168457031,4.625401718515436,0.0,77102.78693711074
LANDSAT_7_1999-12-16,77309.54637354845,44640.04316083341,18903.774031243767,115.42972158997308,13562.063647118537,88.23581276130729,77102.78693711074
LANDSAT_7_2000-01-01,77309.54637354844,70963.69865700783,2265.1228070944962,1770.182962851737,316.5123506126111,1994.0295959795135,77102.78693711074
LANDSAT_7_2000-02-18,77309.54637354845,74582.56933964592,0.1710642901611328,8.172513712139047,2707.102349185119,11.531106714556532,77102.78693711074
LANDSAT_7_2000-03-05,77309.54637354845,53456.353053185674,20135.932648185957,231.30130796607173,3314.5729394313253,171.38642477808065,77102.78693711074
LANDSAT_7_2000-04-22,77309.54637354845,77238.93747095135,0.09002884826660155,0.6034159650639553,69.5110831034248,0.40437468036487056,77102.78693711074
LANDSAT_7_2000-05-24,77309.54637354845,58646.135191250294,12420.42469550499,150.1914750320305,6020.594968832332,72.2000429244313,77102.78693711074
LANDSAT_7_2000-06-09,77309.54637354844,67646.45554710849,495.3050621220963,863.3990002670616,8172.114416087035,132.27234796246964,77102.78693711074
LANDSAT_7_2000-06-25,77309.54637354844,63061.39832849763,8523.720107942356,293.84777758399673,5276.885429870728,153.6947296517693,77102.78693711074
