missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha,extent
Sentinel-2B_2018-12-10,18111.45252842443,14384.228335570877,681.9348520172775,948.2908068206032,1430.7697275994008,666.2288064160498,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-13,75095.8028483552,61841.244322773484,5081.586691131725,2546.9215963218094,1463.7071749410804,4162.343063186889,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-15,17706.673270466352,1031.3802546989446,2394.663472093514,1156.1153605567529,7482.419407503714,5642.0947756136175,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-16,15172.626360709484,0.5387089139715455,13334.047178550307,5.412657344704123,1729.634591062802,102.99322483763713,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-18,75100.67011183452,62499.62122818501,1470.2818300323497,5430.295174659791,421.84376363440686,5278.628115323513,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-20,17266.57277701977,17266.57277701977,0.0,0.0,0.0,0.0,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-21,15429.321063787631,15425.571730800972,0.046024067611694336,0.003001569595336914,0.002001046371459961,3.6983063030796424,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-23,75100.67011183454,74812.9584016544,0.005998642349243164,241.225570058822,21.75880165756219,24.721339821395826,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-25,17124.36918987387,17082.2081121971,0.0,42.14008439695239,0.01099648567199707,0.00999679412841797,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-26,15176.2179375871,15172.543164613433,0.0,0.0,0.0,3.6747729736690147,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-28,75100.67011183452,70445.90991138773,866.8040415351395,1875.9594522512255,418.5615665292868,1493.435140131408,74899.76837432255,aoi no sc
Sentinel-2B_2018-12-30,17489.732801073027,17156.235839018667,1.822576330413818,260.27136543993237,41.95524605427659,29.44777422969713,74899.76837432255,aoi no sc
Sentinel-2A_2018-12-31,15238.942325598158,15235.311492831213,0.0,0.0,0.0,3.6308327669423424,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-02,75051.39069651769,41069.783915334665,8500.098068121662,9715.218010462322,4462.691815562745,11303.598887038064,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-04,17158.54209751846,516.2774288392616,13736.36863619704,299.4332382621239,2103.534719003832,502.92807521594045,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-05,15180.31918737044,15155.439472578482,2.647741021270763,6.971292963103958,9.864434182206637,5.396246625375185,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-07,75100.67011183454,75100.67011183454,0.0,0.0,0.0,0.0,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-09,17532.0032545708,16538.278212663277,586.5302569190052,57.85724650778267,271.4540297678411,77.88350871300132,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-10,15107.379710879977,15103.714808570414,0.0,0.0,0.0,3.664902309562832,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-12,75100.67011183452,75100.65511631429,0.0,0.013995818862915043,0.0,9.997013854980469E-4,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-14,17366.13245921343,17285.99583986428,0.7207596408843998,65.49066994824527,1.3145629462432857,12.610626813785276,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-15,15100.520856981366,15096.878959811957,0.0,0.0,0.0,3.6418971694090607,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-17,75067.34107151855,54428.29230646461,13324.796240727192,2338.506688735201,2739.3196792688077,2236.4261563225014,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-19,17494.67377395957,17403.861938107657,12.713677272796602,24.83056588653564,49.7883019779206,3.479290714645385,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-20,15067.351386200513,11871.668217996517,1735.9963740748142,486.2426520306288,575.8830058720082,397.56113622665697,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-22,75081.49228700658,69594.35882691029,2300.199085188848,898.9775752987458,1409.1136376802465,878.843161928942,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-24,17507.05705222445,17268.70504281582,0.008554509290508196,167.20567070124602,53.5951539890636,17.54263020905321,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-25,14973.615096892705,6753.788798680734,6106.49275662989,571.3145685857156,608.6945745723394,933.3243984241835,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-27,74936.07577384813,57806.4845311943,7994.70443272963,3200.9338562778,2315.531079932419,3618.421873714571,74899.76837432255,aoi no sc
Sentinel-2B_2019-01-29,17619.901390231735,17619.901390231735,0.0,0.0,0.0,0.0,74899.76837432255,aoi no sc
Sentinel-2A_2019-01-30,15064.752999000757,14572.788642606556,0.23214369110107408,410.42138824239413,37.98868779482789,43.322136665783056,74899.76837432255,aoi no sc
Sentinel-2B_2019-02-01,75088.44271929254,68294.86160264081,421.64086743675426,2105.1046246536803,3459.5122251080625,807.3233994537002,74899.76837432255,aoi no sc
Sentinel-2A_2019-02-03,17393.783885286033,17393.783885286033,0.0,0.0,0.0,0.0,74899.76837432255,aoi no sc
Sentinel-2B_2019-02-04,15098.527858540776,15094.862363148823,0.0,0.0,0.0,3.66549539195461,74899.76837432255,aoi no sc
Sentinel-2A_2019-02-06,75100.44215099927,70762.80364705194,2537.4238965076493,531.1482347885999,913.8626326111149,355.2037400398023,74899.76837432255,aoi no sc
Sentinel-2B_2019-02-08,17643.755802263175,15232.09964689636,841.5747145720239,542.8004270464637,478.95297854707746,548.3280352012202,74899.76837432255,aoi no sc
Sentinel-2A_2019-02-09,14988.044607806209,14919.669313034885,0.0,55.54089356292633,3.632761532135012,9.201639676250087,74899.76837432255,aoi no sc
Sentinel-2B_2019-02-11,74798.88170447371,70922.36393241509,1891.9865462612427,690.1633517501616,281.12351782188546,1013.2443562248446,74899.76837432255,aoi no sc
Sentinel-2A_2019-02-13,17406.11298073841,15907.606779792479,764.7988135646232,233.09738996935306,39.65940812687258,460.9505892848379,74899.76837432255,aoi no sc
Sentinel-2B_2019-02-14,15110.147911668966,15106.542654633755,0.0,0.0,0.0,3.6052570352118996,74899.76837432255,aoi no sc
Sentinel-2A_2019-02-16,75100.656173383,75043.85392275748,2.997206177444455,45.42428326652125,1.0385009663911713,7.3422602152003895,74899.76837432255,aoi no sc
