missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha
Sentinel-2B_2018-12-10,18113.59377742126,14302.94243154627,841.9439920359314,1036.8762047226815,1479.325773658493,452.505375457921,77102.78693711074
Sentinel-2B_2018-12-13,77304.80474010475,63126.20538787613,6504.5507945283125,2950.74026212103,1552.9337716101263,3170.37452396881,77102.78693711074
Sentinel-2A_2018-12-15,17708.742846315577,967.4628766886274,4563.804490427717,1272.3327974208773,8195.611143833421,2709.5315379455456,77102.78693711074
Sentinel-2B_2018-12-16,15186.78160099616,1.609048663286994,13227.522166121646,10.085724849205167,1862.0668267830733,85.49783457892035,77102.78693711074
Sentinel-2A_2018-12-18,77309.6720035841,64458.84757005869,2045.936050538937,5998.824793901774,414.91353908759004,4391.150049997413,77102.78693711074
Sentinel-2B_2018-12-20,17268.538103902214,17268.538103902214,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2018-12-21,15443.725975917925,15439.941544296944,0.0540282534790039,3.722399182630352,0.008004184875488282,0.0,77102.78693711074
Sentinel-2B_2018-12-23,77309.67200358413,77018.53787851516,0.1439603443908691,240.41276943801938,27.89038375030504,22.68701153625494,77102.78693711074
Sentinel-2A_2018-12-25,17126.325068127764,17080.848161393187,0.0,45.461911554919794,0.01099647171020508,0.003998707962036133,77102.78693711074
Sentinel-2B_2018-12-26,15190.442722001353,15186.76676033985,0.0,3.6759616614996213,0.0,0.0,77102.78693711074
Sentinel-2A_2018-12-28,77309.67200358411,72585.49895542428,1201.3027372980755,1979.5693997955884,401.25819690479165,1142.042714161871,77102.78693711074
Sentinel-2B_2018-12-30,17491.745077108735,17145.4101456432,3.2632471236419756,264.8823091316798,52.01733860342359,26.172036606768618,77102.78693711074
Sentinel-2A_2018-12-31,15253.167576857879,15249.536712705678,0.0,3.630864152197744,0.0,0.0,77102.78693711074
Sentinel-2B_2019-01-02,77260.39258826806,42805.38876820286,11845.53344831844,10331.760423306243,4386.003953111781,7891.705995329799,77102.78693711074
Sentinel-2A_2019-01-04,17160.491843957323,457.4036543334554,14006.10648826411,347.0101193703901,2167.412530645182,182.55905134415988,77102.78693711074
Sentinel-2B_2019-01-05,15194.544305241167,15168.613886647354,2.880890345230113,11.424951384571765,10.486856311569134,1.137720552444458,77102.78693711074
Sentinel-2A_2019-01-07,77309.6720035841,77309.6720035841,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2019-01-09,17534.031475742442,16513.83988843738,648.0868312215728,72.47186937321676,276.89156894886753,22.741317761687633,77102.78693711074
Sentinel-2A_2019-01-10,15121.556061136447,15117.88310085434,0.0,3.6729602821065868,0.0,0.0,77102.78693711074
Sentinel-2B_2019-01-12,77309.67200358413,77309.65500871207,0.0,0.015995221786499026,9.996502685546875E-4,0.0,77102.78693711074
Sentinel-2A_2019-01-14,17368.12604577667,17284.884037565058,1.095631878356934,70.31728857282722,3.7192513205351005,8.109836439902203,77102.78693711074
Sentinel-2B_2019-01-15,15114.689129649523,15111.037648438036,0.0,3.6514812114883126,0.0,0.0,77102.78693711074
Sentinel-2A_2019-01-17,77276.34197438753,56525.56712373272,13956.046274467393,2468.336859159153,2854.1875337195397,1472.204183308291,77102.78693711074
Sentinel-2B_2019-01-19,17496.68931586491,17401.729425280348,16.529905853805605,26.07423987945557,51.826851690139634,0.5288931611633303,77102.78693711074
Sentinel-2A_2019-01-20,15081.56901780697,11856.634033500184,1909.6551258559127,513.8245830196976,620.0911172413323,181.36415818985904,77102.78693711074
Sentinel-2B_2019-01-22,77290.486187516,71693.57782330946,2755.679314745471,998.341511153075,1405.6941665865381,437.19337172218314,77102.78693711074
Sentinel-2A_2019-01-24,17509.07036330625,17235.493296564666,0.0019994940185546874,166.11399986913528,91.96659735752084,15.494470020936312,77102.78693711074
Sentinel-2B_2019-01-25,14987.556453491507,6735.385312041302,6538.4071988588275,603.2749292071619,605.9180436233174,504.5709697610105,77102.78693711074
Sentinel-2A_2019-01-27,77142.94348008632,59661.05963133369,9202.276611314373,3455.9745808481466,2510.4612005912986,2313.171455999514,77102.78693711074
Sentinel-2B_2019-01-29,17621.950806263783,17621.950806263783,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2A_2019-01-30,15078.76636552406,14552.784888004975,2.324441371917725,451.3410104069057,38.4995479428231,33.816477797414166,77102.78693711074
Sentinel-2B_2019-02-01,77297.38257374773,69963.35508955902,672.3095405015731,2373.653089006447,3769.7919810636727,518.272873617024,77102.78693711074
Sentinel-2A_2019-02-03,17395.781055260337,17395.781055260337,0.0,0.0,0.0,0.0,77102.78693711074
Sentinel-2B_2019-02-04,15112.681560952837,15109.007120978016,0.0,3.6744399748212038,0.0,0.0,77102.78693711074
Sentinel-2A_2019-02-06,77309.44404274887,72912.71738860397,2664.9840180072047,572.7597338679466,953.2306619568577,205.75224031288815,77102.78693711074
Sentinel-2B_2019-02-08,17645.803406920237,15188.983343255843,1038.139572963451,586.6410787092614,485.59097541628995,346.44843657553827,77102.78693711074
Sentinel-2A_2019-02-09,15002.049437742866,14931.097993188814,0.0,58.55757554625484,9.38152022674559,3.012348781051632,77102.78693711074
Sentinel-2B_2019-02-11,77003.57077794526,72662.46113999028,2006.5217021696944,883.9083169366421,308.2592873963874,1142.4203314513693,77102.78693711074
Sentinel-2A_2019-02-13,17408.122540033426,15898.071705158334,772.1331021512511,248.4237725135885,38.682940510480876,450.81101969953806,77102.78693711074
Sentinel-2B_2019-02-14,15124.316211797364,15120.702312251784,0.0,3.6138995455812926,0.0,0.0,77102.78693711074
