missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha,extent
LANDSAT_8_2013-03-22,46131.33992187293,31431.153059810396,7052.1215079668555,2037.92684576704,5486.18533749264,123.95317083393934,74935.14484406907,aoi
LANDSAT_8_2013-07-07,75135.86710262531,64748.43308464794,5006.814359028114,375.8182780217765,4970.4125933711375,34.38878755604468,74935.14484406907,aoi
LANDSAT_8_2013-07-23,75069.43002840826,2254.716068533984,58737.82462719733,393.2566725757306,12723.740823740489,959.8918363571764,74935.14484406907,aoi
LANDSAT_8_2013-08-08,75039.96118638272,69051.41111620743,5005.427995293069,23.755687251498355,864.4475965147315,94.91879111375728,74935.14484406907,aoi
LANDSAT_8_2013-08-24,74684.08762370581,23748.346382256765,19330.777210200144,855.0260843465011,30139.71908835073,610.2188585487897,74935.14484406907,aoi
LANDSAT_8_2013-09-25,74965.36503234896,55532.28219735859,14410.906384372967,110.88029996452278,4845.647821293444,65.64832935724478,74935.14484406907,aoi
LANDSAT_8_2013-10-11,73933.70948551744,45172.77219491259,13691.635167319493,1846.9721605089678,12755.889352732785,466.44061004116537,74935.14484406907,aoi
LANDSAT_8_2013-10-27,74671.63973908954,33696.40914649562,29173.289359288206,138.6280853331109,11446.445988139909,216.86715983330436,74935.14484406907,aoi
LANDSAT_8_2013-11-12,74620.72610067307,17143.41894196618,37027.15791763325,375.06404082210804,19433.026793891324,642.0584063584737,74935.14484406907,aoi
LANDSAT_8_2013-11-28,74259.09246086571,38628.86425533272,26078.623200445647,178.10994655305734,9356.336116942432,17.15894158921186,74935.14484406907,aoi
LANDSAT_8_2013-12-30,74929.00606782406,71616.99121260867,2133.9715342660375,14.002806949900913,1135.1373709259308,28.90314307229196,74935.14484406907,aoi
LANDSAT_8_2014-01-15,74570.15411040929,59425.84804562426,7577.259211581239,3014.291874968463,4347.591857966164,205.16312026599078,74935.14484406907,aoi
LANDSAT_8_2014-01-31,73034.09643398444,42842.29976706448,14405.536491222396,11080.712467147938,3822.893423754289,882.6542847902322,74935.14484406907,aoi
LANDSAT_8_2014-02-16,74988.56135609257,71418.86864613988,1023.8486584974544,2072.5858559692147,450.3122372612533,22.94595822151932,74935.14484406907,aoi
LANDSAT_8_2014-03-04,74988.97882866603,69540.11174339245,2453.513494652161,1890.265525138169,836.1122114788441,268.97585400121625,74935.14484406907,aoi
LANDSAT_8_2014-04-05,75002.54638952114,60004.40077060483,2514.720300957499,12088.966871514609,390.3984353873417,4.0600110536128025,74935.14484406907,aoi
LANDSAT_8_2014-04-21,75018.18845569843,5996.761457452107,19315.174396338316,42078.081595728865,7106.6427274762345,521.5282787030533,74935.14484406907,aoi
LANDSAT_8_2014-05-07,75122.24978754378,52365.1118966986,12249.01656775635,952.9672131139976,9109.556632893311,445.59747707745004,74935.14484406907,aoi
LANDSAT_8_2014-05-23,75124.91855939438,403.09901261973044,48959.93440024008,6924.49425473612,17794.178129592805,1043.212762204087,74935.14484406907,aoi
LANDSAT_8_2014-06-08,75135.94192830917,45.878512967117615,54950.27538115222,2292.5035027742915,15904.463567379771,1942.8209640336083,74935.14484406907,aoi
LANDSAT_8_2014-07-10,74835.25638873712,3668.1056981261067,50912.123230765275,1785.7762119667852,16413.60878968879,2055.6424581903657,74935.14484406907,aoi
LANDSAT_8_2014-07-26,75135.94192830917,35.230030411673766,58882.64448879978,109.51681152195583,15741.321165132767,367.2294324423331,74935.14484406907,aoi
LANDSAT_8_2014-08-27,75043.969212792,1597.6801823781361,61902.44113198441,1569.3133014636628,9825.894573907446,148.64002305716488,74935.14484406907,aoi
LANDSAT_8_2014-09-12,74781.62998672761,61099.433515516226,6702.748139013634,659.7779837084947,5771.008296026632,548.662052457609,74935.14484406907,aoi
LANDSAT_8_2014-09-28,75092.41937441821,391.8692306591713,31196.687799439675,1025.8308158435127,42181.711413676334,296.320114796222,74935.14484406907,aoi
LANDSAT_8_2014-10-14,74711.95359368327,12705.600280524262,37666.55425085768,1240.8166857842193,21909.54611579522,1189.4362607203784,74935.14484406907,aoi
LANDSAT_8_2014-11-15,74268.93628433246,14340.997906054461,38574.36891008261,985.5481650873944,20168.293386704845,199.7279164003259,74935.14484406907,aoi
LANDSAT_8_2014-12-01,74340.7809748013,28939.76994251863,38313.08210786672,330.7950584615211,6660.825570004461,96.30829594734476,74935.14484406907,aoi
LANDSAT_8_2014-12-17,74621.10673097239,68399.49322820354,4852.395120411768,1.3689307751010071,1349.781846264471,18.067605316054404,74935.14484406907,aoi
LANDSAT_8_2015-02-03,72721.55454046415,44837.63744305623,18689.74147612937,2996.179044156189,5503.628208297047,694.3683688259378,74935.14484406907,aoi
LANDSAT_8_2015-02-19,71105.05692345223,31735.14148779368,12881.529201950263,21443.115472742524,3595.577094252178,1449.6936667151747,74935.14484406907,aoi
LANDSAT_8_2015-03-23,72870.2928777082,45058.813982086394,20479.878948100046,1525.3035213726973,4651.733169973074,1154.5632561744844,74935.14484406907,aoi
LANDSAT_8_2015-04-24,74629.69162242042,57542.07347206934,11112.226427609163,555.9215828671761,4829.38799159088,590.0821482843988,74935.14484406907,aoi
LANDSAT_8_2015-05-10,75108.74250587753,72247.91025130355,2147.548123076863,12.469934313481371,628.8219818408277,71.99221534057621,74935.14484406907,aoi
LANDSAT_8_2015-05-26,74637.87047081214,74201.98390246299,417.0540058117205,0.0,18.832562536582834,0.0,74935.14484406907,aoi
LANDSAT_8_2015-06-11,75135.93292617537,34029.97302264739,8745.143914431137,6697.787044149104,18182.256654187342,7480.772290761366,74935.14484406907,aoi
LANDSAT_8_2015-06-27,75135.93292507979,107.84306978496949,55077.39865965341,418.6141045455133,19158.087815621653,373.98927547349473,74935.14484406907,aoi
LANDSAT_8_2015-07-13,74843.28007833044,52919.566721625044,13401.516906321625,172.76606511752243,7952.691375466158,396.7390097977003,74935.14484406907,aoi
LANDSAT_8_2015-08-14,75048.73230944111,2008.932635562838,67014.59262327383,141.72612107833322,5690.913003035572,192.56792648973888,74935.14484406907,aoi
LANDSAT_8_2015-08-30,75135.19486535565,4671.191842849208,4733.424336335539,689.6452331985549,64675.53033089263,365.40312208093155,74935.14484406907,aoi
LANDSAT_8_2015-09-15,75135.8339062352,30.190827007290707,51944.80753042248,204.70157382154738,22473.1868062512,482.9471687285627,74935.14484406907,aoi
LANDSAT_8_2015-10-01,74968.82326383384,1904.5837619104966,60943.919496410985,682.905014447834,10995.309001445905,442.10598961544264,74935.14484406907,aoi
LANDSAT_8_2015-10-17,74936.47112703945,30513.046964897097,34849.12904582963,443.9233461622296,8851.412836255857,278.95893389145766,74935.14484406907,aoi
LANDSAT_8_2015-11-02,74010.35512816167,70968.1410776913,2315.8723898388575,41.58281431689457,457.1643787174963,227.59446759733953,74935.14484406907,aoi
LANDSAT_8_2015-11-18,74477.02066506627,52549.32861047133,13181.837323329279,786.9798443195639,7628.12409890234,330.7507880430005,74935.14484406907,aoi
