class,cloud,openWater,lightNearShoreSediment,offShoreSediment,darkNearShoreSediment,mission
cloud,130,0,1,0,0,Landsat 8
openWater,0,27,0,5,0,Landsat 8
lightNearShoreSediment,1,0,42,7,1,Landsat 8
offShoreSediment,0,0,2,50,0,Landsat 8
darkNearShoreSediment,0,1,5,0,29,Landsat 8
