Band,Feature_Importance
SR_B2,15374.212867173124
SR_B3,3835.764715482057
SR_B12,2392.937485376106
SR_B11,1666.6628157976288
SR_B7,1348.6881043711717
SR_B4,1313.6587690502586
SR_B5,897.8635137483344
SR_B8,896.5671572165742
SR_B6,757.3922887400425
SR_B8A,235.32077933368356
