mission,date,missDate,area_ha,classified_ha,openWater_ha,cloud_ha,lightNSSed_ha,darkNSSed_ha,offShoreSed_ha,proportion_AOI_classified,openWater_perc,cloud_perc,lightNSSed_perc,darkNSSed_perc,offShoreSed_perc
LANDSAT_7,2009-12-27,LANDSAT_7_2009-12-27,77102.78693711074,12604.10571706878,0.6393287438964848,12512.762841824037,9.446592032470688,4.4032110961913995,47.93095534362789,16.34714673459129,0.005072384810535908,99.27529269195954,0.07494853061790721,0.034934736307618126,0.3802804928771635
LANDSAT_7,2015-03-15,LANDSAT_7_2015-03-15,77102.78693711074,13257.37473075546,0.11697448120117188,13192.652933368416,3.5361642187499975,3.6261599114990224,16.969993618774442,17.19441703393796,8.823351800549594e-4,99.51180532570375,0.026673185985657752,0.027352020932823018,0.12800417853020454
LANDSAT_7,2015-09-23,LANDSAT_7_2015-09-23,77102.78693711074,13129.76835926205,0,13129.76835926205,0,0,0,17.028915400906858,0,100,0,0,0
LANDSAT_7,2016-04-18,LANDSAT_7_2016-04-18,77102.78693711074,13415.230024583045,0,13415.230024583045,0,0,0,17.399150611151374,0,100,0,0,0
LANDSAT_7,2016-07-07,LANDSAT_7_2016-07-07,77102.78693711074,13452.743867708035,0.04502479431152344,13327.822861479724,43.93053107450842,0.07204209655761717,43.3498222692872,17.44780493950346,3.3468855687947014e-4,99.0714087218432,0.3265544301334634,5.355197219694862e-4,0.32223777316792684
LANDSAT_7,2016-12-30,LANDSAT_7_2016-12-30,77102.78693711074,13254.818654545814,0,13254.818654545814,0,0,0,17.19110187982851,0,100,0,0,0
LANDSAT_7,2017-01-31,LANDSAT_7_2017-01-31,77102.78693711074,13238.77486474148,0,13238.77486474148,0,0,0,17.170293566093466,0,100,0,0,0
LANDSAT_7,2017-06-24,LANDSAT_7_2017-06-24,77102.78693711074,12766.832045720028,0,12766.832045720028,0,0,0,16.558197897740527,0,100,0,0,0
LANDSAT_7,2018-01-18,LANDSAT_7_2018-01-18,77102.78693711074,12841.885223571468,0,12841.885223571468,0,0,0,16.65553961628652,0,100,0,0,0
LANDSAT_7,2018-09-15,LANDSAT_7_2018-09-15,77102.78693711074,13440.055511800312,23.589709636460196,13188.411617195825,3.748944549816657,0.7460475849872663,197.84572173069935,17.431348522800818,0.17551794794112666,98.12765732713272,0.0278938174513126,0.005550926365834126,1.4720603018119356
LANDSAT_7,2022-06-26,LANDSAT_7_2022-06-26,77102.78693711074,10793.90585601519,65.25704921936058,10540.074109226462,2.0804915927495027,2.208329586897308,119.02685588953122,13.999371857750475,0.6045730812354118,97.64837909302986,0.019274687221679757,0.020459040650856315,1.1027227537212616
LANDSAT_5,1984-04-18,LANDSAT_5_1984-04-18,77102.78693711074,77309.54637354844,18840.585472963034,20009.072541554317,1982.6588596183435,23797.90634529507,10710.145120822632,100.26816078205623,24.37032210993462,25.881761671286235,2.5645718447737686,30.782623183826562,13.853586811999612
LANDSAT_5,1984-05-04,LANDSAT_5_1984-05-04,77102.78693711074,77309.54637354845,5735.861060703203,40645.597114438424,2715.576642684097,8877.719934595907,19254.431180675205,100.26816078205624,7.419343832375318,52.57513337103911,3.5126019619398963,11.48334242151682,24.90563207762286
LANDSAT_5,1984-05-20,LANDSAT_5_1984-05-20,77102.78693711074,77309.54637354845,6798.10975658184,58057.03014956678,2657.2785683343936,1136.0094105851877,7704.532505573283,100.26816078205624,8.793363918777075,75.09684492138096,3.437193326028342,1.4694296679690189,9.965822937759983
LANDSAT_5,1984-06-05,LANDSAT_5_1984-06-05,77102.78693711074,75594.7641508034,747.1015244703957,55458.79132933251,1587.5023862491064,2564.8351774869225,14535.678766984744,98.04413971762477,0.9882979765371167,73.36327052849614,2.1000163226678112,3.392874104839262,19.228420023888997
LANDSAT_5,1984-06-21,LANDSAT_5_1984-06-21,77102.78693711074,77309.54637354844,4309.868781308008,29515.07434365039,7609.570653319875,7366.35102327587,26875.522729235163,100.26816078205623,5.57482094188388,38.17778751544843,9.842989656867914,9.52838474524574,34.76352402764927
LANDSAT_5,1984-07-07,LANDSAT_5_1984-07-07,77102.78693711074,77309.54637354845,62360.247832936424,1091.4060388876871,364.530809645048,2763.0217404745467,8487.638784416704,100.26816078205624,80.66306265932644,1.4117351479650033,0.47152108212314203,3.5739722583858256,10.978771940279756
LANDSAT_5,1984-07-23,LANDSAT_5_1984-07-23,77102.78693711074,75364.28021042897,23463.174136577967,38225.564732967905,144.97650502404537,5326.865901336933,2867.9033215242257,97.745208966182,31.13301695586434,50.7210639128193,0.19236766359241814,7.068157337220607,3.8053880611830784
LANDSAT_5,1984-08-08,LANDSAT_5_1984-08-08,77102.78693711074,77309.06508834504,37365.833726508485,22405.865697630885,641.9676008156134,1967.771680332418,12976.081082198947,100.26753656959579,48.3330560055391,28.982197200323856,0.8303911062460839,2.545331104552544,16.78468245266
LANDSAT_5,1984-11-12,LANDSAT_5_1984-11-12,77102.78693711074,77309.54637354845,3621.8056519068023,59787.489324074086,2105.049317974322,1228.8178639053024,5335.570117486179,100.26816078205624,4.684810378276915,77.33519614148253,2.7228840637649467,1.589477524506267,6.901566970404254
LANDSAT_5,1984-12-30,LANDSAT_5_1984-12-30,77102.78693711074,77309.54637354845,698.0440470572678,68607.06678867963,300.9754263419708,3873.626028690136,3782.603465851835,100.26816078205624,0.9029208937333829,88.74333120153143,0.3893121101599813,5.010540367127935,4.892802562279757
LANDSAT_5,1985-01-31,LANDSAT_5_1985-01-31,77102.78693711074,77309.54637354845,300.61347802973887,73594.95584562581,74.14354548513629,2628.1360957960264,525.8628322978327,100.26816078205624,0.3888439295416615,95.19517226245995,0.09590477368329843,3.3994974994384988,0.6802042657926619
LANDSAT_5,1985-03-20,LANDSAT_5_1985-03-20,77102.78693711074,75301.26846490375,37299.08840840429,6790.9117506051925,542.7653680903131,17997.166045831367,11893.520570126331,97.66348462387437,49.53314754025501,9.01832318239139,0.720791799600672,23.900216308068497,15.794581967327199
LANDSAT_5,1985-04-05,LANDSAT_5_1985-04-05,77102.78693711074,75446.78627648497,131.47655888488623,68452.0174435281,187.40363331012665,1596.2485046810468,5065.304838974967,97.85221685699054,0.17426396189106394,90.72887106506617,0.24839180375869244,2.1157276319648366,6.713744996920706
LANDSAT_5,1985-04-21,LANDSAT_5_1985-04-21,77102.78693711074,77309.54637354844,1498.5076812994066,67771.00995587096,405.9029867460772,3803.0949743590186,3410.5972005166686,100.26816078205623,1.9383216583096174,87.66189058775657,0.5250360476632643,4.919308355507636,4.411611968381189
LANDSAT_5,1985-05-07,LANDSAT_5_1985-05-07,77102.78693711074,75474.25891173889,66412.47507556305,1.7378628181966134,569.4494240417134,419.3481948617884,6107.1092169218,97.88784804017503,87.993543803096,0.0023025901058914733,0.7544948864057599,0.5556175057673406,8.091645158203642
LANDSAT_5,1985-06-08,LANDSAT_5_1985-06-08,77102.78693711074,75555.91053902694,0,75539.80721884602,12.70805389613489,0.0450300537109375,3.3232181890869117,97.99374774955216,0,99.97868688224914,0.016819404075040286,5.9598320488346305e-5,0.004398356350123486
LANDSAT_5,1985-06-24,LANDSAT_5_1985-06-24,77102.78693711074,75537.14623819097,66478.62457563446,361.22094112126143,572.136744819446,617.5901348775816,5403.740331074452,97.96941101467993,88.007858234421093,0.47820305519912676,0.7574243578322771,0.8175979178908046,7.153752292990869
LANDSAT_5,1985-07-10,LANDSAT_5_1985-07-10,77102.78693711074,75559.28287516521,10878.170647909486,60769.97343554253,7.530102936480351,1597.5612069345889,2099.348592496201,97.99812156828457,14.396868569917196,80.42687956150041,0.009965821074455091,2.1143149407254027,2.778412542592055
LANDSAT_5,1985-07-26,LANDSAT_5_1985-07-26,77102.78693711074,75525.39068872607,67334.59989145581,1366.793941030443,109.58160518557332,946.680086383202,3361.5588542477394,97.95416441993041,89.15491767394072,1.8097144927903948,0.14509240427131076,1.2534593700877288,4.450898993826099
LANDSAT_5,1985-08-27,LANDSAT_5_1985-08-27,77102.78693711074,77309.54637354845,58468.69901661743,2785.204451576494,1115.089888447336,1108.8398203822885,11560.827161832203,100.26816078205624,75.62933914280806,3.6026656243962325,1.442370238546459,1.4342857672770917,14.953945151834125
LANDSAT_5,1985-09-12,LANDSAT_5_1985-09-12,77102.78693711074,77309.54637354845,52372.623895458,5.654345874652937,6134.315399874028,139.00201773978182,16498.346706559954,100.26816078205624,67.74405794906767,0.007313903831917423,7.934745044595025,0.17979929292062374,21.340633182404602
LANDSAT_5,1985-10-14,LANDSAT_5_1985-10-14,77102.78693711074,77309.54637354845,45738.60524050621,0.7463518175431794,5105.999663579528,560.512185833863,24321.475253286873,100.26816078205624,59.16294608624909,9.654070584464644e-4,6.604617286082733,0.7250232502019218,31.45986025550978
LANDSAT_5,1985-10-30,LANDSAT_5_1985-10-30,77102.78693711074,77309.54637354845,58065.188909284894,199.66598881916835,2445.236423426737,436.94487826026256,13947.646455298936,100.26816078205624,75.10739828781607,0.25826821936635275,3.1629165324702737,0.5651887751986134,18.041299049804202
LANDSAT_5,1985-11-15,LANDSAT_5_1985-11-15,77102.78693711074,77309.54637354844,49244.21958029283,3281.9495832893326,3075.45022332813,600.9385716299066,18685.542086144953,100.26816078205623,63.69746284935104,4.245206106153348,3.9780989122197195,0.7773148334440604,24.169773284995287
LANDSAT_5,1986-03-07,LANDSAT_5_1986-03-07,77102.78693711074,77309.54637354845,919.663162467961,58164.49980755733,48.56223686287195,17491.259255300167,510.234173729953,100.26816078205624,1.189585511243699,75.23585706545857,0.06281531730664452,22.624966871212713,0.6599885753624474
LANDSAT_5,1986-03-23,LANDSAT_5_1986-03-23,77102.78693711074,77309.54637354845,4182.532989456624,14448.416845858776,1842.4302314706415,42017.04654223757,14593.658923094816,100.26816078205624,5.410111927506643,18.68904620917853,2.383185929675861,54.349105011194,18.87691702727162
LANDSAT_5,1986-05-10,LANDSAT_5_1986-05-10,77102.78693711074,77171.66324295194,7.521381782226564,76983.31408430019,20.22065853783697,22.49656265139356,135.29336358512603,100.08933050098096,0.009746299957988128,99.75593482019588,0.026202180551918735,0.029151325377774807,0.1753148213991388
LANDSAT_5,1986-05-26,LANDSAT_5_1986-05-26,77102.78693711074,77119.02738328942,48631.85605417632,2678.154397577434,3338.782389106098,1412.3447278447325,19149.426773459916,100.02106337114887,63.06077462890065,3.4727543752162924,4.329388611855813,1.8313829618535455,24.831001405509586
LANDSAT_5,1986-06-27,LANDSAT_5_1986-06-27,77102.78693711074,77197.15937077567,42583.393947956145,2645.376589481543,6037.705239321873,4133.715233762056,18640.54887925743,100.12239821336408,55.161866440485674,3.42677970412859,7.821149493756568,5.354750443481922,24.146677197961942
LANDSAT_5,1986-07-29,LANDSAT_5_1986-07-29,77102.78693711074,77307.76654858826,43431.044261496805,0.7239343887412873,7276.265928872257,99.8670935650468,24332.057225016662,100.26585240251396,56.17940628798299,9.364316433670239e-4,9.412076242429139,0.1291811910026917,31.47427265244283
LANDSAT_5,1986-08-30,LANDSAT_5_1986-08-30,77102.78693711074,77309.54637354845,39997.67230903193,12748.201243533453,2635.89004858702,426.95323203002374,18707.492525548103,100.26816078205624,51.737041782355064,16.489815089505253,3.409527247580504,0.5522645676473744,24.198166207257547
LANDSAT_5,1986-09-15,LANDSAT_5_1986-09-15,77102.78693711074,77309.54637354844,46582.34360192674,1211.8358862464163,2782.1344984644725,421.1775105171227,24126.15048420399,100.26816078205623,60.25432276739493,1.5675113140504051,3.598694636004724,0.5447936642676112,31.20720740958685
LANDSAT_5,1986-10-01,LANDSAT_5_1986-10-01,77102.78693711074,77309.54637354845,30817.09360009329,16747.763387081457,2810.862181240139,3986.9488013515006,20854.51254079098,100.26816078205624,39.86195113756015,21.66325398697686,3.6358539314905083,5.157123522736954,26.975339423187165
LANDSAT_5,1986-11-02,LANDSAT_5_1986-11-02,77102.78693711074,77210.61473497293,42273.37913849311,4587.162540113303,5427.808269311774,918.049184813898,21720.13711322963,100.13984941679234,54.75073509464649,5.9411035074113006,7.029873143664042,1.1890193957982609,28.13102471439252
LANDSAT_5,1986-11-18,LANDSAT_5_1986-11-18,77102.78693711074,77168.96504417849,19240.982337376467,19788.01030296425,7551.079388977249,1975.1072479057489,28363.54769237815,100.08583101817283,24.93357572744586,25.642446146110426,9.785124608907648,2.5594579981408576,36.755122575688674
LANDSAT_5,1986-12-04,LANDSAT_5_1986-12-04,77102.78693711074,77309.54637354845,0.13504457885742188,77246.5764773598,34.65547265991207,17.645862167085525,10.398468885498056,100.26816078205624,1.746803405169475e-4,99.91854835639006,0.04482689950405592,0.022824945941117402,0.013450433191334705
LANDSAT_5,1987-02-06,LANDSAT_5_1987-02-06,77102.78693711074,75530.3859203368,971.113326099984,69474.49889420898,650.9567319572309,3022.8140479768717,1290.5140035455288,97.96064308537062,1.2857253597568452,91.98218445154633,0.8618474856514121,4.002116513961792,1.7086024224828615
LANDSAT_5,1987-03-10,LANDSAT_5_1987-03-10,77102.78693711074,77309.54637354845,5791.3198484286195,31022.1408270967,3935.021536183627,8502.236037759427,27819.22706420896,100.26816078205624,7.491079847300884,40.12717999560137,5.089955536888261,10.997653506693549,35.98420682717567
LANDSAT_5,1987-04-11,LANDSAT_5_1987-04-11,77102.78693711074,77309.54637354845,12165.172219937256,17381.24314834958,3350.0090923109155,4616.114509024306,38124.86230997765,100.26816078205624,15.735666280017888,22.48266089205329,4.333241170662365,5.970950193809073,49.31455958331961
LANDSAT_5,1987-04-27,LANDSAT_5_1987-04-27,77102.78693711074,77309.54637354845,11436.23867308333,37964.99531677109,1069.791111695458,8876.090878825997,16108.312445694492,100.26816078205624,14.792789777636376,49.10777141716726,1.3837762111892151,11.481235235734045,20.836123352556584
LANDSAT_5,1987-05-13,LANDSAT_5_1987-05-13,77102.78693711074,77309.54637354845,40.04172717407224,72380.73850388496,963.384325911062,1059.3941445263683,2747.900788781631,100.26816078205624,0.051794026808275995,93.62458053259269,1.2461388937093607,1.3703277204700315,3.554413287466693
LANDSAT_5,1987-05-29,LANDSAT_5_1987-05-29,77102.78693711074,75657.34554116029,12779.205784111948,51388.421660701446,392.8107230011719,3494.6059034953023,6808.596012991071,98.12530590219855,16.890898950663825,67.92258080577822,0.5191970722624267,4.618990897049265,8.999253098678901
LANDSAT_5,1987-06-14,LANDSAT_5_1987-06-14,77102.78693711074,77309.54637354845,67680.09444463252,3.086094068479052,311.81360546104025,1219.5673998298898,5754.799648512865,100.26816078205624,87.54429125429371,0.003991866739933379,0.4033313091172498,1.577512037047945,7.443840920636776
LANDSAT_5,1987-06-30,LANDSAT_5_1987-06-30,77102.78693711074,77309.54637354844,65186.5226481171,5240.985561112522,297.8457319109624,563.4682716997911,4195.853666154193,100.26816078205623,84.31885285310734,6.779221722229291,0.3852638462937233,0.7288469511607204,5.4273422403495175
LANDSAT_5,1987-07-16,LANDSAT_5_1987-07-16,77102.78693711074,77309.54637354845,3813.717415372325,65306.29661160308,51.78029260046632,4221.766045068448,3179.1143690796625,100.26816078205624,4.9330484969411135,84.47378063253997,0.06697787663928526,5.460859936584662,4.112188621206812
LANDSAT_5,1987-08-17,LANDSAT_5_1987-08-17,77102.78693711074,77309.54637354845,37582.357748163384,26240.682100026308,749.6389969480948,2107.962920835492,7571.174248441759,100.26816078205624,48.61282921849122,33.942356838100125,0.9696590293337753,2.7266528129011682,9.793323856615261
LANDSAT_5,1987-09-02,LANDSAT_5_1987-09-02,77102.78693711074,77309.54637354845,32770.909595252335,21758.601609048037,489.85608192777863,8547.088828965674,9336.139164763896,100.26816078205624,42.389214699188734,28.144779823068223,0.6336294867917934,11.05567065116045,12.076308299175672
LANDSAT_5,1987-11-05,LANDSAT_5_1987-11-05,77102.78693711074,77309.54637354845,29064.70288955878,32051.126747014983,1160.3397802044883,1505.6860051694628,11957.775671682948,100.26816078205624,37.59523144673799,41.45817463751322,1.5009010330986756,1.9476068296846647,15.467398571846122
LANDSAT_5,1987-11-21,LANDSAT_5_1987-11-21,77102.78693711074,77309.54637354845,10443.776945256832,54378.193457222296,2113.388707806662,1236.1270412589884,4097.694440452025,100.26816078205624,13.50903922627359,70.33826481722554,2.7336710754905686,1.5989319550346381,5.300373152692636
LANDSAT_5,1987-12-23,LANDSAT_5_1987-12-23,77102.78693711074,75685.23934607384,37.59298649758505,74370.06167620904,209.3635330844621,697.14806494736,108.87945787365076,98.1614833297879,0.04967016927262341,98.26230625518524,0.27662399550213324,0.9211149637244617,0.1438582460918106
LANDSAT_5,1988-01-08,LANDSAT_5_1988-01-08,77102.78693711074,77309.54637354845,2850.361088457097,61394.97842971877,1797.669339013339,6895.226823690219,4312.219900649596,100.26816078205624,3.6869458199697203,79.4144854156396,2.32528765636169,8.918984972921052,5.577862117847101
LANDSAT_5,1988-01-24,LANDSAT_5_1988-01-24,77102.78693711074,77309.54637354845,10.960559602208756,76405.63614172707,72.16533534156943,487.9594294837958,295.7755018002495,100.26816078205624,0.014177498273303701,98.83079092528389,0.0933459562585933,0.631176164358858,0.3825860009203849
LANDSAT_5,1988-02-25,LANDSAT_5_1988-02-25,77102.78693711074,77309.54637354844,21374.935938614846,9480.53061823749,2710.4229009971086,29032.05347397392,13499.40683718292,100.26816078205623,27.6485077733276,12.263078834312324,3.5059355902836904,37.55299938470118,17.461500513734432
LANDSAT_5,1988-04-13,LANDSAT_5_1988-04-13,77102.78693711074,77309.54637354845,49511.47642019526,65.22008911523432,4401.411113087568,1454.4135603221062,19785.62805127457,100.26816078205624,64.04315992356626,0.08436227112250842,5.69323106854177,1.8812858547825284,25.592735928979977
LANDSAT_5,1988-05-31,LANDSAT_5_1988-05-31,77102.78693711074,77309.54637354845,27983.13996976665,12208.918186501369,1386.637855497895,4283.847272703583,29991.426878188,100.26816078205624,36.196228386280005,15.792251745353228,1.793617891376394,5.541162086250847,38.79395014591574
LANDSAT_5,1988-06-16,LANDSAT_5_1988-06-16,77102.78693711074,77309.54637354845,11116.27372826037,59514.655104395875,234.87100688138537,2236.8488814812854,1893.2249020344632,100.26816078205624,14.378914700324533,76.98228471918557,0.30380595657167997,2.8933669726545257,2.4488889029133305
LANDSAT_5,1988-07-02,LANDSAT_5_1988-07-02,77102.78693711074,77309.54637354844,59524.95759119947,11216.33391332871,391.0548830696347,468.5860727163098,2795.3072350567436,100.26816078205623,76.99561099942763,14.508342681423873,0.5058300060126011,0.6061167018781488,3.615733588126656
LANDSAT_5,1988-07-18,LANDSAT_5_1988-07-18,77102.78693711074,77309.54637354845,61173.83147033984,5202.7196093379225,690.5309789116213,1529.968582662598,6037.2006822151025,100.26816078205624,79.12843153257789,6.729724663237759,0.8932027301972209,1.9790163756362156,7.809127029467007
