class,cloud,openWater,lightNearShoreSediment,offShoreSediment,darkNearShoreSediment,mission
cloud,351,0,1,0,0,Sentinel 2
openWater,0,99,0,0,0,Sentinel 2
lightNearShoreSediment,0,0,80,2,0,Sentinel 2
offShoreSediment,0,3,3,95,0,Sentinel 2
darkNearShoreSediment,0,0,1,0,34,Sentinel 2
