missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha,extent
LANDSAT_5_1984-04-18,75100.49383884732,32493.503094141248,20656.13835608019,2467.503953548316,7964.091036807224,11519.25739827377,74899.76837432255,aoi no sc
LANDSAT_5_1984-05-04,75100.49383884735,35535.37588976276,7447.375700916775,2762.7165997189522,16403.049093417176,12951.97655503368,74899.76837432255,aoi no sc
LANDSAT_5_1984-05-20,75100.49383884734,55471.43350920228,7401.003677837638,2680.1922878456753,7481.001980374053,2066.862383590588,74899.76837432255,aoi no sc
LANDSAT_5_1984-06-05,73395.20592317781,53014.20483093398,931.5361455575537,2590.675809890579,10776.691134968327,6082.098001833697,74899.76837432255,aoi no sc
LANDSAT_5_1984-06-21,75100.49383884732,23539.94528031212,5892.033753323893,9448.619607727018,22268.41075310143,13951.484444387694,74899.76837432255,aoi no sc
LANDSAT_5_1984-07-07,75100.49383884735,1101.2938707551498,62852.70600748899,304.717813863788,8936.863429224677,1904.912717516563,74899.76837432255,aoi no sc
LANDSAT_5_1984-07-23,73165.43795274786,37541.97708772781,25807.712108257892,941.4863415501333,3233.432818049646,5640.829597162345,74899.76837432255,aoi no sc
LANDSAT_5_1984-08-08,75100.01195388995,21714.75795539838,38899.80191103663,704.4528066949616,11899.58610473593,1881.4131760282914,74899.76837432255,aoi no sc
LANDSAT_5_1984-11-12,75100.49383884734,59321.06847148821,4672.474779125098,3238.285798915625,5579.233024545343,2289.431764776742,74899.76837432255,aoi no sc
LANDSAT_5_1984-12-30,75100.49383884732,65798.86460466197,389.15215210276847,743.1082722771068,3464.462494914283,4704.906314890546,74899.76837432255,aoi no sc
LANDSAT_5_1985-01-31,75100.49383884732,74145.4167183846,21.404341158937953,153.42586108586795,699.9489668760898,80.2979513415336,74899.76837432255,aoi no sc
LANDSAT_5_1985-03-20,73102.50521400165,21509.40060074435,40814.80892855948,845.146782885607,8489.698383567813,1443.4505182475023,74899.76837432255,aoi no sc
LANDSAT_5_1985-04-05,73247.8406425068,64737.70073120087,1001.3398889798377,847.8178750607913,4605.791297709116,2055.190849555833,74899.76837432255,aoi no sc
LANDSAT_5_1985-04-21,75100.49383884732,61612.29344568434,2188.8144571767334,1179.5549885912612,4526.24410835073,5593.586839041004,74899.76837432255,aoi no sc
LANDSAT_5_1985-05-07,73275.22890261328,20.041048180810055,67274.21824544638,226.0741422792325,5327.063337422762,427.8321292842788,74899.76837432255,aoi no sc
LANDSAT_5_1985-06-08,73356.46766064788,73332.74997059951,0.0,19.899143406510902,3.7915286206054684,0.027018021240234377,74899.76837432255,aoi no sc
LANDSAT_5_1985-06-24,73337.714838083,210.87421524575356,66707.97160334821,491.3686865118893,5277.205948588624,650.2943843881245,74899.76837432255,aoi no sc
LANDSAT_5_1985-07-10,73359.76476899137,58197.52998271031,11224.419859871434,88.84348534980577,1752.2006423590178,2096.7707987014364,74899.76837432255,aoi no sc
LANDSAT_5_1985-07-26,73326.04366374073,1420.978628929694,68891.10359735286,129.80485673066022,2412.1864704513173,471.9701102763321,74899.76837432255,aoi no sc
LANDSAT_5_1985-08-27,75100.49383884734,2167.5241205807856,60785.39446801962,946.0907299728462,9625.972409900729,1575.5121103735164,74899.76837432255,aoi no sc
LANDSAT_5_1985-09-12,75100.49383884732,11.907841738826974,51889.308726358264,6205.444672013963,16891.261232276574,102.57136646317286,74899.76837432255,aoi no sc
LANDSAT_5_1985-10-14,75100.49383884735,9.204048101969402,49346.15816874892,4401.180382595716,20823.132458802596,520.818780601666,74899.76837432255,aoi no sc
LANDSAT_5_1985-10-30,75100.49383884734,235.12695738078875,58376.79003451535,3569.84908334283,12499.973178628992,418.75458498385046,74899.76837432255,aoi no sc
LANDSAT_5_1985-11-15,75100.49383884734,3270.467670419811,52612.80903953758,3073.6899022111556,15346.950073148166,796.5771535337569,74899.76837432255,aoi no sc
LANDSAT_5_1986-03-07,75100.49383884734,73298.20520015967,4.329786737670899,758.1607111268744,998.3074122812883,41.49072854166187,74899.76837432255,aoi no sc
LANDSAT_5_1986-03-23,75100.49383884735,43050.97573728119,1845.7372402350704,5964.658528485525,10501.77047272443,13737.351860120401,74899.76837432255,aoi no sc
LANDSAT_5_1986-05-10,74962.5990306658,74784.15628923988,1.8983198474121092,18.10562381446746,138.29345296357536,20.14534480051076,74899.76837432255,aoi no sc
LANDSAT_5_1986-05-26,74909.96052501115,2595.6416757566326,51272.93142799968,2303.013273985553,16614.576004710125,2123.7981425618577,74899.76837432255,aoi no sc
LANDSAT_5_1986-06-27,74988.09618160345,2224.959833321149,44080.969903380406,4959.3527477402795,18635.13621130313,5087.677485859351,74899.76837432255,aoi no sc
LANDSAT_5_1986-07-29,75098.7127438202,4.096895581844553,44416.30488324881,5587.919116688011,24904.606958478253,185.78488982758395,74899.76837432255,aoi no sc
LANDSAT_5_1986-08-30,75100.49383884735,12717.018171121208,42626.60445800146,3319.632423171006,15744.304297785504,692.9344887708731,74899.76837432255,aoi no sc
LANDSAT_5_1986-09-15,75100.49383884734,1195.8844251558432,47534.0438754357,2597.5041240204832,23304.19878042253,468.8626338163414,74899.76837432255,aoi no sc
LANDSAT_5_1986-10-01,75100.49383884732,15115.641879844772,32522.39666029933,2176.7852776109694,19411.841163760993,5873.8288573336395,74899.76837432255,aoi no sc
LANDSAT_5_1986-11-02,75001.55225139513,4419.716838049155,45690.88004048409,5783.133437055512,18086.966702567803,1020.8552332414355,74899.76837432255,aoi no sc
