mission,date,extent,area_ha,classified_ha,openWater_ha,cloud_ha,lightNSSed_ha,darkNSSed_ha,offShoreSed_ha,perc_extent_classified,openWater_perc_class_area,cloud_perc_class_area,lightNSSed_perc_class_area,darkNSSed_perc_class_area,offShoreSed_perc_class_area,openWater_perc_extent_area,cloud_perc_extent_area,lightNSSed_perc_extent_area,darkNSSed_perc_extent_area,offShoreSed_perc_extent_area,date_flag
LANDSAT_9,2021-11-06,aoi no sc,74899.76837432255,60345.12362958664,45361.825419821835,9968.692804419105,331.83373954006146,53.82586902272421,4628.945796786019,80.56783744377293,75.17065620457419,16.51946703367354,0.5498932135377489,0.0891967167937558,7.670786831425913,60.563372096318744,13.309377346267754,0.44303707039743273,0.07186386579157569,6.1801870650015704,
LANDSAT_9,2022-02-14,aoi no sc,74899.76837432255,74631.19799681685,16678.539016887393,50761.35003689644,4832.255822091171,46.04575475632133,2313.0073661866845,99.6414269585408,22.34794491386667,68.01626049076889,6.4748469162953475,0.06169772962546476,3.0992499494451886,22.26781120808539,67.77237251684033,6.451629860777761,0.06147649819983546,3.08813687463904,winter
LANDSAT_9,2022-03-02,aoi no sc,74899.76837432255,74437.67884067462,5199.742466461552,65864.70564957177,2927.87301454527,33.12566350589046,412.2320465875719,99.38305612463503,6.98536352482324,88.48301918514639,3.9333212160095012,0.044501204258117946,0.5537948697593159,6.942267752384865,87.93712861754561,3.9090548316688998,0.04422665680398384,0.5503782662282505,winter
LANDSAT_9,2022-04-19,aoi no sc,74899.76837432255,75099.06428266232,63277.9758900716,719.203626050525,3938.225683909193,323.5063453608997,6840.152737270172,100.26608347751326,84.25933997246915,0.957673218595033,5.24404094981299,0.4307728044962948,9.108173054626617,84.48354015439762,0.9602214287982836,5.257994476334471,0.4319190197546799,9.132408398228293,
LANDSAT_9,2022-05-05,aoi no sc,74899.76837432255,75100.47583708524,56221.07651372594,135.90738926244856,6958.83201955693,4770.993224768094,7013.666689771298,100.26796806868563,74.86114553479767,0.1809674143174155,9.266029198873067,6.352813576198592,9.339044275812553,75.0617495006832,0.18145234920251221,9.290859198361135,6.369837088045929,9.364069932392145,
LANDSAT_9,2022-05-21,aoi no sc,74899.76837432255,75047.73835966652,46478.57020367759,21380.587140114378,2649.112775810366,645.291515759488,3894.176724306312,100.1975573336949,61.932006506217284,28.489315744130554,3.52990354368107,0.8598413887796678,5.188932817193582,62.054357726974715,28.545598476702576,3.5368771270039687,0.861540068501346,5.199183934514449,
LANDSAT_9,2022-06-06,aoi no sc,74899.76837432255,74344.90359273697,30645.62740056691,33206.890063409686,5864.003928945545,1488.3413576293335,3140.0408421882153,99.25919025702113,41.22088525185847,44.66599384581594,7.887566794179583,2.0019413378790567,4.2236127702706145,40.91551691777057,44.335103811607794,7.8291349308843365,1.9871107613993275,4.1923238353627506,
LANDSAT_9,2022-06-22,aoi no sc,74899.76837432255,75100.49383884734,62508.164556939526,29.81978144546088,4365.953082203901,3449.830248481671,4746.726169777706,100.2679921031553,83.23269443616607,0.03970650513889958,5.8134811890484785,4.593618593087297,6.320499276560495,83.45575148449836,0.03981291543711078,5.829060859553546,4.605929128165844,6.337437715501665,
LANDSAT_9,2022-07-08,aoi no sc,74899.76837432255,75100.48483664886,46462.77001325936,25.24039213941864,16572.157173327065,4327.372257377229,7712.945000547279,100.26798008416154,61.86747011596607,0.03360882715247317,22.066644721899173,5.7621096145913056,10.270166720392968,62.033262614451445,0.033698892115762075,22.12577893499655,5.777550920785968,10.297688721813808,
LANDSAT_9,2022-07-24,aoi no sc,74899.76837432255,74655.39339788648,43455.12538900062,27419.813702710177,1880.9451337543833,783.2838884667615,1116.2252839543496,99.6737306646734,58.20761690639065,36.72851009782026,2.519503344828176,1.0491993315099677,1.4951703194506913,58.01770330160071,36.60867623204874,2.5112829780114736,1.045776115824799,1.4902920371874189,
LANDSAT_9,2022-08-09,aoi no sc,74899.76837432255,75100.47583222136,71584.67409534966,19.120486645426425,745.2968335318089,63.42202011204145,2687.962396581866,100.26796806219178,95.31853600405117,0.02545987416663332,0.992399615678659,0.08444955828739324,3.5791549478154083,95.5739592378908,0.025528098498074116,0.9950589296979919,0.08467585613226548,3.588745939971911,
LANDSAT_9,2022-08-25,aoi no sc,74899.76837432255,75017.33283461405,24240.9490313978,49254.808226603825,460.9033741208257,172.4399135997409,888.2322888911972,100.1569623816511,32.31379751242327,65.65790380096928,0.61439584254075,0.22986676156550143,1.184036082500329,32.364518018600684,65.76096201051746,0.6153602128879674,0.23022756590907892,1.18589457373503,
LANDSAT_9,2022-09-10,aoi no sc,74899.76837432255,75069.13193062649,34295.16228990452,36596.0022302239,2361.7260989915685,487.96868713886727,1328.272624367543,100.22612026709818,45.68477269938015,48.749734130458975,3.146068215060894,0.6500257490519712,1.769399206047883,45.788075229431186,48.85996715948443,3.153182112911881,0.6514955890119344,1.7734001762586316,
LANDSAT_9,2022-09-26,aoi no sc,74899.76837432255,74500.21261516763,15380.946825024152,57667.33713001601,443.94364930761344,91.90214033364232,916.0828704897812,99.46654606839627,20.645507287978823,77.40560074358152,0.5958958152251369,0.12335822557764324,1.2296379276416645,20.535373017651562,76.9926775231334,0.5927169855705562,0.12270016627334271,1.2230783757721693,
LANDSAT_9,2022-10-12,aoi no sc,74899.76837432255,73922.42545116067,14474.23770568426,55761.07142546996,1494.3239499293427,209.85596138546663,1982.9364086911364,98.69513224890434,19.58030681128983,75.43187481356438,2.0214758117164564,0.28388673681184207,2.6824558266168226,19.32480970214372,74.44758860507532,1.9950982257531693,0.2801823903335465,2.647453325597913,
