missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,other,area_ha
LANDSAT_9_2021-11-06,62549.62061119579,10448.061562697329,46264.07416379127,328.08143737994163,4469.6512134310815,136.62069071468565,903.1315431791803,77102.78693711074
LANDSAT_9_2022-02-14,76834.0135677863,45811.70891128297,17449.84633097793,9673.027248159624,2230.988967924101,176.25984129391944,1492.182268143371,77102.78693711074
LANDSAT_9_2022-03-02,76639.02391671152,64840.81532611925,5896.451869056107,4257.532636818019,553.2661644060961,136.09025229681754,954.8676680117485,77102.78693711074
LANDSAT_9_2022-04-19,77306.92367678124,1985.47758378642,63440.71568934386,4252.81815755489,6802.376865880831,332.53908009586144,492.9963001188867,77102.78693711074
LANDSAT_9_2022-05-05,77309.52837178636,1929.3580616239558,56037.80941185216,3934.7757861368154,6667.343716531672,6979.762032610014,1760.4793630283689,77102.78693711074
LANDSAT_9_2022-05-21,77256.79085905095,22214.997027338377,46681.37763411176,1596.452992197394,3782.070204197105,768.649863866163,2213.2431373390086,77102.78693711074
LANDSAT_9_2022-06-06,76553.8747708243,33160.39193954298,31546.62435042632,2960.068222193957,2742.045403602521,2548.047612784293,3596.6972422734384,77102.78693711074
LANDSAT_9_2022-06-22,77309.54637354844,2156.1779883283434,60772.35824318159,2678.462916908886,6244.717976391061,3967.397025983454,1490.4322227541045,77102.78693711074
LANDSAT_9_2022-07-08,77309.53737134996,2141.609885996403,46310.53804717126,5580.862392720842,6757.04479287483,4686.653712159743,11832.828540422935,77102.78693711074
LANDSAT_9_2022-07-24,76864.36375515997,28221.800436418762,43376.482440169406,1059.3835630813292,793.1683897926546,704.8171666630082,2708.7117590363455,77102.78693711074
LANDSAT_9_2022-08-09,77309.52836692247,2140.563993473396,71619.77258731882,606.8360191053803,2829.22779489314,59.57123716283219,53.556734968924694,77102.78693711074
LANDSAT_9_2022-08-25,77226.34575271225,51080.538832943326,24317.308301795132,228.04221975097357,842.9404909036922,250.4566784622466,507.0592288529763,77102.78693711074
LANDSAT_9_2022-09-10,77277.39683664286,38389.56667235859,34496.90674448288,951.4421326872994,1095.1717514166428,1189.7071428240054,1154.602392870634,77102.78693711074
LANDSAT_9_2022-09-26,76705.51663538869,57811.46806104496,16412.853597178873,464.1274165601298,693.5322087249688,348.66338615544237,974.8719657238071,77102.78693711074
LANDSAT_9_2022-10-12,76131.26100520394,55589.71707295533,16256.707559157674,1045.321752019556,1729.5997014427578,522.1881476490639,987.7267719785106,77102.78693711074
LANDSAT_9_2022-10-28,77284.34052682843,2562.510278091034,71060.79885235676,93.44658916619032,3172.630483998822,187.3271665959062,207.62715661934823,77102.78693711074
LANDSAT_9_2023-02-01,75533.39361554629,47249.219135521664,19775.865053165177,4909.929126841922,1340.6365137488008,534.8073116126043,1722.9364746534784,77102.78693711074
LANDSAT_9_2023-02-17,76879.86175649264,6315.824716637135,46882.980482838284,10139.378037783557,11841.135867967885,395.3010721185081,1305.241579146455,77102.78693711074
LANDSAT_9_2023-03-05,74572.69577251707,2012.6430567160703,50063.45126370232,14257.031600344677,3312.6485927891745,2308.8204651887304,2618.100793777422,77102.78693711074
LANDSAT_9_2023-04-06,74187.81797815152,49630.58265053082,18203.731111055433,2560.4770757992183,1224.1170001176665,867.8735482271212,1701.0365924216744,77102.78693711074
LANDSAT_9_2023-05-08,76626.31088039758,64918.60910272127,7855.559974004626,727.5650023136855,279.15028737655365,1537.9615632432117,1307.4649507363067,77102.78693711074
LANDSAT_9_2023-05-24,77309.4743885576,70609.1602569267,2601.4762665560693,1856.0509526667397,19.470428073744785,602.0393201115614,1621.277164222117,77102.78693711074
LANDSAT_9_2023-06-09,77107.08836011718,16882.672320594982,42290.29550430187,1882.9296539638754,12349.21065427801,988.8201343446652,2713.1600926368988,77102.78693711074
LANDSAT_9_2023-07-11,77280.32940119671,2106.722935125905,50704.363740880086,4592.43803766177,2761.516062519349,13195.323905110617,3919.964719896675,77102.78693711074
LANDSAT_9_2021-12-12,22056.474018941637,532.9577285661829,15960.328343058074,150.07960904228509,5354.365919076194,8.712524450609392,50.029894748786404,77102.78693711074
LANDSAT_9_2022-01-29,21412.009631612484,20890.81427636688,286.76717425170693,30.99249830747361,1.6927639086914057,7.996630863037111,193.74628791471358,77102.78693711074
LANDSAT_9_2022-04-03,21558.505883570997,15387.582984965318,1363.3259195552218,3242.11500898766,829.888075559116,104.85878498493045,630.7351095180837,77102.78693711074
LANDSAT_9_2022-11-13,21752.061215706108,18454.935029547247,1906.8394393940491,260.56464245994215,485.33055671749867,162.54465292853405,481.84689465904955,77102.78693711074
