mission,date,missDate,classified_ha,openWater_ha,cloud_ha,lightNSSed_ha,darkNSSed_ha,offShoreSed_ha,proportion_AOI_classified,openWater_perc,cloud_perc,lightNSSed_perc,darkNSSed_perc,offShoreSed_perc
LANDSAT_8,2018-07-21,LANDSAT_8_2018-07-21,77236.4500433706,6103.969820366298,46984.225479943896,6783.338721016025,537.8949829423054,8229.332388180794,100.17335708441246,7.902965266967519,60.831673974607625,8.782561494225817,0.6964263409831254,10.65472634172049
LANDSAT_8,2018-08-06,LANDSAT_8_2018-08-06,77003.71376463924,6433.09778259202,55345.168374044006,5491.939149131015,241.7605177592891,2005.4813332495169,99.87150511759157,8.3542695125779165,71.8733755403093,7.132044521796767,0.31395955589652036,2.6043956001644832
LANDSAT_8,2018-08-22,LANDSAT_8_2018-08-22,77309.48337463367,70499.18073626657,2.7880038033279715,403.18597316838543,213.50681011411208,3877.7360370838937,100.26807912261555,91.19085739408568,0.003606289528307409,0.5215220120080073,0.27617156498056056,5.015860755779198
LANDSAT_8,2018-09-07,LANDSAT_8_2018-09-07,77288.3123604454,66843.14840258595,645.7499690633412,863.2716405129696,771.8265136362456,5258.740879786634,100.24062095276271,86.48545473583782,0.8355079174866586,1.116949787293809,0.998632898124,6.804057067854869
LANDSAT_8,2018-10-25,LANDSAT_8_2018-10-25,76871.45790280892,5248.583640967864,39479.60146060394,18166.578032607093,562.2430295365,2597.2843839821553,99.69997323509057,6.8277404698162725,51.35794550757614,23.632409906386435,0.7314067468934465,3.378736991388906
LANDSAT_8,2018-11-10,LANDSAT_8_2018-11-10,76557.19479427513,5698.900574891455,63158.62357293981,2966.6702707237255,142.49139481598803,182.95946643505175,99.29238341743407,7.4439777870722255,82.49861262897625,3.875103154831857,0.186124106557054,0.2389840261607042
LANDSAT_8,2018-11-26,LANDSAT_8_2018-11-26,77148.50642034304,11940.864283092777,41274.57722609208,10711.236064285562,89.68803595663636,787.3753530695391,100.05929684539461,15.477764686762788,53.50016369883801,13.883918900419765,0.1162537554103404,1.020597014256544
LANDSAT_8,2019-01-29,LANDSAT_8_2019-01-29,77095.95793196603,1771.5679956938648,65460.02211764692,996.899524616687,1496.482878117539,622.580909428844,99.9911430334641,2.29787403025357,84.90720379324253,1.29306328289793,1.9410652883230568,0.8075402733542085
LANDSAT_8,2019-03-02,LANDSAT_8_2019-03-02,76947.05651263203,2483.3384433744254,63893.56135596987,284.7225042975508,9021.06958194755,625.2036813974362,99.79802236257692,3.2273339045357083,83.03574464278665,0.3700239063086309,11.723735761700778,0.8125114978177229
LANDSAT_8,2019-03-18,LANDSAT_8_2019-03-18,76737.48103603243,34704.03332716252,6024.390374959242,2895.7024588431777,27685.66780021833,1412.4360816081723,99.52620926083857,45.224358238794785,7.850649113867137,3.7735177383311393,36.07841621386868,1.840607826239379
LANDSAT_8,2019-04-03,LANDSAT_8_2019-04-03,76369.00399562083,51005.995948381315,4993.47497459676,2996.4750046417566,12283.480143404402,2176.6341159381946,99.04830560102728,66.78887150512807,6.538614769524946,3.9236795661412334,16.084379133854835,2.850153860934218
LANDSAT_8,2019-04-19,LANDSAT_8_2019-04-19,77297.10762952997,59328.41844412952,131.54919526825307,3532.324834475446,1570.0266824456044,11118.52425779212,100.2520281527333,76.7537366708197,0.17018643944446515,4.569802082899652,2.031158384309071,14.384140104026983
LANDSAT_8,2019-05-05,LANDSAT_8_2019-05-05,77304.51711420699,50185.13102083245,80.60480290120466,4037.026601637651,3943.824828260951,9121.531199854213,100.26163803192824,64.91875623088194,0.10426920173645474,5.222238948434914,5.101674488742336,11.799480211975688
LANDSAT_8,2019-05-21,LANDSAT_8_2019-05-21,77309.52837055162,54138.43242030059,60.894643760986376,6092.157502068958,3318.0490643023136,10035.777564948625,100.26813748097037,70.02814990774506,0.0787673202054898,7.880215583347878,4.291901831813799,12.981294513719224
LANDSAT_8,2019-06-06,LANDSAT_8_2019-06-06,77309.52836884081,58093.85080609741,2.96879434225404,3775.29501010611,1431.5305849918432,12261.608412670828,100.2681374787515,75.14448998955713,0.0038401402839893625,4.883350202441181,1.8516871273125162,15.860410316010675
LANDSAT_8,2019-06-22,LANDSAT_8_2019-06-22,77309.54637354845,46593.99700423043,3.5422935795898423,3634.5609863142786,2636.893878328898,11654.323246126887,100.26816083031682,60.26939645861461,0.004581961408069834,4.70130942012337,3.4108257026730073,15.074882459942135
LANDSAT_8,2019-07-08,LANDSAT_8_2019-07-08,77308.63710265672,53682.869134487424,25.210943846615063,2537.375032999778,4317.101682444882,8966.070711159298,100.26698153326636,69.43967860046857,0.03261077260117509,3.2821365478613265,5.584242387706669,11.597760673562798
