missDate,classified,cloud,openWater,lightNSSed,OSSed,dNSSed,area_ha,aoi
Sentinel-2B_2018-12-10,18112.206675930716,14384.735703391943,682.0951618012992,948.2908068199946,1430.7832243241712,666.3017795933149,74935.14484406907,
Sentinel-2B_2018-12-13,75131.26725235493,61872.98287296146,5083.261719923458,2547.7370433122837,1463.7728081282023,4163.512808029295,74935.14484406907,
Sentinel-2A_2018-12-15,17707.427417971867,1031.4363679517453,2394.7034111843855,1156.1557035964647,7482.61752157065,5642.514413669067,74935.14484406907,
Sentinel-2B_2018-12-16,15186.416919868332,1.2196051392840215,13338.955887925398,7.572368004206934,1731.9150496284717,106.75400917089517,74935.14484406907,
Sentinel-2A_2018-12-18,75136.13451583429,62533.14195816301,1470.4152152206789,5431.117821073356,421.8584025177491,5279.601118859994,74935.14484406907,
Sentinel-2B_2018-12-20,17267.326924525703,17267.326924525703,0.0,0.0,0.0,0.0,74935.14484406907,
Sentinel-2A_2018-12-21,15443.360902483653,15439.595480800268,0.046024067611694336,0.003001569595336914,0.002001046371459961,3.714394999809415,74935.14484406907,
Sentinel-2B_2018-12-23,75136.13451583433,74848.42280565566,0.005998642349243164,241.22557005798373,21.75880165733331,24.721339821014375,74935.14484406907,
Sentinel-2A_2018-12-25,17125.1233373798,17082.96225970283,0.0,42.140084397181454,0.01099648567199707,0.00999679412841797,74935.14484406907,
Sentinel-2B_2018-12-26,15190.078131097907,15186.402192974754,0.0,0.0,0.0,3.6759381231530877,74935.14484406907,
Sentinel-2A_2018-12-28,75136.13451583433,70481.3379388625,866.8040415342375,1875.99582877824,418.56156652913296,1493.4351401307256,74935.14484406907,
Sentinel-2B_2018-12-30,17490.486948579335,17156.989986524764,1.8225763304138187,260.27136544016076,41.95524605420049,29.447774229773298,74935.14484406907,
Sentinel-2A_2018-12-31,15252.802793723404,15249.17196095638,0.0,0.0,0.0,3.6308327670186356,74935.14484406907,
Sentinel-2B_2019-01-02,75086.85510051825,41100.84004933135,8500.231041478466,9717.433631344778,4463.125574105952,11305.224804258825,74935.14484406907,
Sentinel-2A_2019-01-04,17159.296245024918,516.4024892260411,13736.812771808565,299.45368235876043,2103.5419063694944,503.08539526207466,74935.14484406907,
Sentinel-2B_2019-01-05,15194.17965549547,15169.2979118834,2.647741021270763,6.973313934631357,9.864442030715884,5.396246625451477,74935.14484406907,
Sentinel-2A_2019-01-07,75136.13451583435,75136.13451583435,0.0,0.0,0.0,0.0,74935.14484406907,
Sentinel-2B_2019-01-09,17532.75740207665,16539.032360169218,586.5302569185449,57.85724650816402,271.4540297671524,77.88350871384056,74935.14484406907,
Sentinel-2A_2019-01-10,15121.191772330043,15117.518866970477,0.0,0.0,0.0,3.6729053595658847,74935.14484406907,
Sentinel-2B_2019-01-12,75136.13451583435,75136.1195203141,0.0,0.013995818862915043,0.0,9.997013854980469E-4,74935.14484406907,
Sentinel-2A_2019-01-14,17366.886606719687,17286.74998737061,0.7207596408843997,65.49066994832195,1.3145629462432868,12.610626813632702,74935.14484406907,
Sentinel-2B_2019-01-15,15114.324915381349,15110.673402782388,0.0,0.0,0.0,3.6515125989592305,74935.14484406907,
Sentinel-2A_2019-01-17,75102.80447486535,54458.67180949718,13325.431555672889,2340.6111136902937,2739.48274633556,2238.6072496690567,74935.14484406907,
Sentinel-2B_2019-01-19,17495.4279214658,17404.61608561322,12.713677273025489,24.83056588661188,49.788301978378186,3.4792907145690917,74935.14484406907,
Sentinel-2A_2019-01-20,15081.204685849838,11883.608721223733,1736.952010541023,486.5749439580096,575.9824109051933,398.0865992218832,74935.14484406907,
Sentinel-2B_2019-01-22,75116.9486879972,69629.17493122579,2300.4369395247404,899.068610228069,1409.1303672474908,879.1378397717325,74935.14484406907,
Sentinel-2A_2019-01-24,17507.811199730757,17269.459190321522,0.008554509290508196,167.20567070147493,53.59515398929247,17.542630209205857,74935.14484406907,
Sentinel-2B_2019-01-25,14987.19243144133,6762.478276708422,6108.409786040598,572.0074921409969,608.898418033257,935.3984585182632,74935.14484406907,
Sentinel-2A_2019-01-27,74971.08492993187,57835.71636833337,7996.1115562558925,3201.9044858314874,2315.9262612713783,3621.426258240568,74935.14484406907,
Sentinel-2B_2019-01-29,17620.655537737,17620.655537737,0.0,0.0,0.0,0.0,74935.14484406907,
Sentinel-2A_2019-01-30,15078.402257180624,14586.366557244493,0.2321436911010741,410.4863286710191,37.988687795438416,43.32853977853994,74935.14484406907,
Sentinel-2B_2019-02-01,75123.90712329221,68329.60163790772,421.64086743790045,2105.4450247092805,3459.6863517401025,807.5332414974405,74935.14484406907,
Sentinel-2A_2019-02-03,17394.538032792352,17394.538032792352,0.0,0.0,0.0,0.0,74935.14484406907,
Sentinel-2B_2019-02-04,15112.317354527824,15108.642855703709,0.0,0.0,0.0,3.6744988241140337,74935.14484406907,
Sentinel-2A_2019-02-06,75135.90655499908,70798.26636868648,2537.423896508834,531.149917155556,913.8626326087297,355.20374003950445,74935.14484406907,
Sentinel-2B_2019-02-08,17644.509949768748,15232.853794401482,841.5747145717163,542.8004270468475,478.95297854623766,548.328035202592,74935.14484406907,
Sentinel-2A_2019-02-09,15001.685435316194,14933.310140544578,0.0,55.540893562926755,3.632761532211305,9.201639676478962,74935.14484406907,
Sentinel-2B_2019-02-11,74834.34610847378,70957.75010324123,1891.9911931122554,690.2014267634842,281.1257177245476,1013.2776676314189,74935.14484406907,
Sentinel-2A_2019-02-13,17406.867128245005,15908.360927303056,764.7988135628631,233.0973899689717,39.65940812656744,460.95058928331287,74935.14484406907,
