SPACECRAFT_ID,DATE_ACQUIRED,WRS_PATH,WRS_ROW
LANDSAT_5,1992-07-29,26.0,27.0
LANDSAT_5,1992-08-14,26.0,27.0
LANDSAT_5,1992-08-30,26.0,27.0
LANDSAT_5,1992-09-15,26.0,27.0
LANDSAT_5,1992-10-01,26.0,27.0
LANDSAT_5,1992-10-17,26.0,27.0
LANDSAT_5,1992-12-04,26.0,27.0
LANDSAT_5,1992-12-20,26.0,27.0
LANDSAT_5,1993-01-05,26.0,27.0
LANDSAT_5,1993-02-22,26.0,27.0
LANDSAT_5,1993-03-26,26.0,27.0
LANDSAT_5,1993-05-13,26.0,27.0
LANDSAT_5,1993-05-29,26.0,27.0
LANDSAT_5,1993-06-14,26.0,27.0
LANDSAT_5,1993-06-30,26.0,27.0
LANDSAT_5,1993-08-01,26.0,27.0
LANDSAT_5,1993-08-17,26.0,27.0
LANDSAT_5,1993-09-18,26.0,27.0
LANDSAT_5,1993-10-04,26.0,27.0
LANDSAT_5,1993-10-20,26.0,27.0
LANDSAT_5,1993-11-21,26.0,27.0
LANDSAT_5,1993-12-07,26.0,27.0
LANDSAT_5,1993-12-23,26.0,27.0
LANDSAT_5,1994-01-08,26.0,27.0
LANDSAT_5,1994-01-24,26.0,27.0
LANDSAT_5,1994-02-09,26.0,27.0
LANDSAT_5,1994-03-13,26.0,27.0
LANDSAT_5,1994-04-30,26.0,27.0
LANDSAT_5,1994-05-16,26.0,27.0
LANDSAT_5,1994-06-01,26.0,27.0
LANDSAT_5,1994-07-03,26.0,27.0
LANDSAT_5,1994-07-19,26.0,27.0
LANDSAT_5,1994-08-20,26.0,27.0
LANDSAT_5,1994-09-21,26.0,27.0
LANDSAT_5,1994-11-08,26.0,27.0
LANDSAT_5,1994-11-24,26.0,27.0
LANDSAT_5,1994-12-10,26.0,27.0
LANDSAT_5,1994-12-26,26.0,27.0
LANDSAT_5,1995-02-12,26.0,27.0
LANDSAT_5,1995-02-28,26.0,27.0
LANDSAT_5,1995-03-16,26.0,27.0
LANDSAT_5,1995-05-19,26.0,27.0
LANDSAT_5,1995-06-04,26.0,27.0
LANDSAT_5,1995-06-20,26.0,27.0
LANDSAT_5,1995-07-22,26.0,27.0
LANDSAT_5,1995-08-07,26.0,27.0
LANDSAT_5,1995-08-23,26.0,27.0
LANDSAT_5,1995-09-08,26.0,27.0
LANDSAT_5,1995-10-10,26.0,27.0
LANDSAT_5,1995-10-26,26.0,27.0
LANDSAT_5,1995-11-27,26.0,27.0
LANDSAT_5,1996-01-30,26.0,27.0
LANDSAT_5,1996-02-15,26.0,27.0
LANDSAT_5,1996-03-02,26.0,27.0
LANDSAT_5,1996-04-19,26.0,27.0
LANDSAT_5,1996-05-05,26.0,27.0
LANDSAT_5,1996-05-21,26.0,27.0
LANDSAT_5,1996-06-22,26.0,27.0
