"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_5",1991-05-24,"","","",1,"2627"
"LANDSAT_5",1997-08-28,"","","",2,"2627; 2628"
"LANDSAT_7",2013-10-03,"","","",1,"2627"
"LANDSAT_7",2010-06-21,"","","",2,"2627; 2628"
"LANDSAT_7",2002-08-18,"","","",2,"2627; 2628"
"LANDSAT_7",2000-08-28,"","","",2,"2627; 2628"
"LANDSAT_7",2002-05-30,"","","",2,"2627; 2628"
"LANDSAT_9",2022-11-13,"","","",1,"2628"
"LANDSAT_7",2022-10-06,"","","",2,"2627; 2628"
"LANDSAT_7",2011-09-28,"","","",2,"2627; 2628"
"LANDSAT_8",2014-07-26,"","","",2,"2627; 2628"
"LANDSAT_5",2002-06-23,"","","",2,"2627; 2628"
"LANDSAT_8",2019-04-19,"","","",2,"2627; 2628"
"LANDSAT_7",2010-06-05,"","","",2,"2627; 2628"
"LANDSAT_7",2019-04-11,"","","",1,"2627"
"LANDSAT_5",2004-04-09,"","","",2,"2627; 2628"
"LANDSAT_5",2000-08-20,"","","",2,"2627; 2628"
"LANDSAT_7",2015-04-16,"","","",2,"2627; 2628"
"LANDSAT_7",1999-10-13,"","","",2,"2627; 2628"
"LANDSAT_7",2012-04-07,"","","",2,"2627; 2628"
"LANDSAT_7",2020-05-31,"","","",2,"2627; 2628"
"LANDSAT_5",1995-08-07,"","","",1,"2627"
"LANDSAT_8",2022-10-20,"","","",2,"2627; 2628"
"LANDSAT_5",2000-07-19,"","","",2,"2627; 2628"
"LANDSAT_7",2022-10-23,"","","",2,"2627; 2628"
"LANDSAT_7",2013-09-17,"","","",2,"2627; 2628"
"LANDSAT_5",1995-09-24,"","","",1,"2628"
"LANDSAT_5",2010-11-04,"","","",2,"2627; 2628"
"LANDSAT_5",2009-09-30,"","","",2,"2627; 2628"
"LANDSAT_7",2020-11-23,"","","",2,"2627; 2628"
"LANDSAT_7",2018-08-30,"","","",2,"2627; 2628"
"LANDSAT_5",1991-07-27,"","","",2,"2627; 2628"
"LANDSAT_7",2008-08-02,"","","",2,"2627; 2628"
"LANDSAT_5",1986-06-27,"","","",2,"2627; 2628"
"LANDSAT_5",1993-08-17,"","","",2,"2627; 2628"
"LANDSAT_5",1990-11-13,"","","",2,"2627; 2628"
"LANDSAT_9",2022-07-08,"","","",2,"2627; 2628"
"LANDSAT_7",2018-05-26,"","","",2,"2627; 2628"
"LANDSAT_5",2009-11-01,"","","",1,"2628"
"LANDSAT_7",2021-07-21,"","","",2,"2627; 2628"
"LANDSAT_5",1997-11-16,"","","",2,"2627; 2628"
"LANDSAT_5",1984-05-20,"","","",2,"2627; 2628"
"LANDSAT_7",2009-10-08,"","","",1,"2627"
"LANDSAT_7",2001-07-30,"","","",1,"2628"
"LANDSAT_7",2021-05-02,"","","",1,"2627"
"LANDSAT_7",2004-07-22,"","","",2,"2627; 2628"
"LANDSAT_5",1984-08-08,"","","",2,"2627; 2628"
"LANDSAT_7",2020-11-07,"","","",2,"2627; 2628"
"LANDSAT_7",2002-06-15,"","","",2,"2627; 2628"
"LANDSAT_8",2022-06-14,"","","",2,"2627; 2628"
"LANDSAT_4",1990-05-13,"","","",1,"2628"
"LANDSAT_8",2014-11-15,"","","",2,"2627; 2628"
"LANDSAT_5",1992-05-26,"","","",2,"2627; 2628"
"LANDSAT_7",2007-04-10,"","","",2,"2627; 2628"
"LANDSAT_8",2019-05-05,"","","",2,"2627; 2628"
"LANDSAT_7",2010-09-09,"","","",2,"2627; 2628"
"LANDSAT_8",2022-05-13,"","","",2,"2627; 2628"
"LANDSAT_7",2002-09-19,"","","",1,"2627"
"LANDSAT_5",1987-04-27,"","","",2,"2627; 2628"
"LANDSAT_7",2015-09-07,"","","",2,"2627; 2628"
"LANDSAT_8",2014-04-05,"","","",2,"2627; 2628"
"LANDSAT_5",2005-11-06,"","","",2,"2627; 2628"
"LANDSAT_8",2022-04-11,"","","",2,"2627; 2628"
"LANDSAT_5",1984-04-18,"","","",2,"2627; 2628"
"LANDSAT_7",2022-08-16,"","","",2,"2627; 2628"
"LANDSAT_5",1992-06-11,"","","",2,"2627; 2628"
"LANDSAT_5",2009-10-16,"","","",1,"2628"
"LANDSAT_7",2001-06-28,"","","",2,"2627; 2628"
"LANDSAT_8",2016-07-31,"","","",2,"2627; 2628"
"LANDSAT_7",2018-05-10,"","","",2,"2627; 2628"
"LANDSAT_5",2003-09-30,"","","",2,"2627; 2628"
"LANDSAT_5",1995-10-10,"","","",2,"2627; 2628"
"LANDSAT_5",1985-11-15,"","","",2,"2627; 2628"
"LANDSAT_7",1999-07-09,"","","",1,"2628"
"LANDSAT_7",2014-10-22,"","","",2,"2627; 2628"
"LANDSAT_8",2016-07-15,"","","",2,"2627; 2628"
"LANDSAT_5",1993-06-14,"","","",2,"2627; 2628"
"LANDSAT_7",2018-07-29,"","","",2,"2627; 2628"
"LANDSAT_8",2021-11-02,"","","",2,"2627; 2628"
"LANDSAT_7",2000-10-31,"","","",2,"2627; 2628"
"LANDSAT_7",2022-05-06,"","","",2,"2627; 2628"
"LANDSAT_8",2018-07-21,"","","",2,"2627; 2628"
"LANDSAT_5",1986-11-18,"","","",2,"2627; 2628"
"LANDSAT_5",1992-10-17,"","","",2,"2627; 2628"
"LANDSAT_5",2008-04-04,"","","",2,"2627; 2628"
"LANDSAT_7",2005-10-29,"","","",2,"2627; 2628"
"LANDSAT_7",2000-05-24,"","","",2,"2627; 2628"
"LANDSAT_5",2004-08-31,"","","",1,"2628"
"LANDSAT_7",2016-09-09,"","","",2,"2627; 2628"
"LANDSAT_5",2007-04-02,"","","",1,"2627"
"LANDSAT_5",1988-10-06,"","","",2,"2627; 2628"
"LANDSAT_7",2012-11-17,"","","",2,"2627; 2628"
"LANDSAT_8",2015-06-27,"","","",2,"2627; 2628"
"LANDSAT_5",1987-04-11,"","","",2,"2627; 2628"
"LANDSAT_7",2008-07-17,"","","",1,"2627"
"LANDSAT_5",1997-09-13,"","","",2,"2627; 2628"
"LANDSAT_8",2020-05-07,"","","",2,"2627; 2628"
"LANDSAT_5",2002-07-09,"","","",2,"2627; 2628"
"LANDSAT_5",2007-06-21,"","","",2,"2627; 2628"
"LANDSAT_8",2013-09-25,"","","",2,"2627; 2628"
"LANDSAT_8",2013-11-28,"","","",2,"2627; 2628"
"LANDSAT_7",2010-05-04,"","","",2,"2627; 2628"
"LANDSAT_8",2013-11-12,"","","",2,"2627; 2628"
"LANDSAT_8",2021-06-11,"","","",1,"2628"
"LANDSAT_7",2019-09-02,"","","",2,"2627; 2628"
