system:index,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,lat,lon,.geo
1_1_1_1_1_1_1_0,0.03960749999999999,0.039360000000000006,0.02530750000000001,0.02239250000000001,0.017827499999999996,0.01942250000000001,openWater,46.97372516911192,-91.6236012993758,"{""type"":""Point"",""coordinates"":[-91.6236012993758,46.97372516911192]}"
1_1_1_1_1_1_1_1,0.03982749999999999,0.03955249999999999,0.028744999999999993,0.022557500000000008,0.012905,0.012327499999999991,openWater,46.900585889319046,-91.58583579644612,"{""type"":""Point"",""coordinates"":[-91.58583579644612,46.900585889319046]}"
1_1_1_1_1_1_1_2,0.037077499999999985,0.03740750000000001,0.03006500000000001,0.02484,0.014912499999999995,0.008559999999999984,openWater,46.93669917320337,-91.72522483453206,"{""type"":""Point"",""coordinates"":[-91.72522483453206,46.93669917320337]}"
1_1_1_1_1_1_1_3,0.040569999999999995,0.036995,0.024908749999999993,0.024908749999999993,0.014981250000000002,0.015833749999999994,openWater,46.862570320161495,-91.65518699273518,"{""type"":""Point"",""coordinates"":[-91.65518699273518,46.862570320161495]}"
1_1_1_1_1_1_1_4,0.037682499999999994,0.038658750000000006,0.027975,0.022199999999999998,0.01782750000000001,0.012368749999999998,openWater,46.83392352935397,-91.60368857964924,"{""type"":""Point"",""coordinates"":[-91.60368857964924,46.83392352935397]}"
1_1_1_1_1_1_1_5,0.03133,0.027700000000000002,0.022584999999999994,0.02134749999999999,0.0112825,0.009137499999999993,openWater,47.14802394796658,-91.15623518629204,"{""type"":""Point"",""coordinates"":[-91.15623518629204,47.14802394796658]}"
1_1_1_1_1_1_1_6,0.03473999999999999,0.02890999999999999,0.026654999999999984,0.022117499999999984,0.01400499999999999,0.012740000000000001,openWater,47.08260483456972,-91.41166731519829,"{""type"":""Point"",""coordinates"":[-91.41166731519829,47.08260483456972]}"
1_1_1_1_1_1_1_7,0.034025,0.03606000000000001,0.026242500000000002,0.021815,0.01634250000000001,0.012685000000000002,openWater,46.95152530361232,-91.10130354566704,"{""type"":""Point"",""coordinates"":[-91.10130354566704,46.95152530361232]}"
1_1_1_1_1_1_1_8,0.03751750000000001,0.03971749999999999,0.026077500000000003,0.028854999999999992,0.01628750000000001,0.012685000000000002,openWater,46.94777544578152,-91.35124251051079,"{""type"":""Point"",""coordinates"":[-91.35124251051079,46.94777544578152]}"
1_1_1_1_1_1_1_9,0.04367750000000001,0.03716,0.030092499999999994,0.0236025,0.015710000000000002,0.015985,openWater,46.86239520099163,-91.48307844801079,"{""type"":""Point"",""coordinates"":[-91.48307844801079,46.86239520099163]}"
1_1_1_1_1_1_1_10,0.039525000000000005,0.035922499999999996,0.02610499999999999,0.025252499999999983,0.01628750000000001,0.009192499999999992,openWater,46.85917219188011,-91.27940074653611,"{""type"":""Point"",""coordinates"":[-91.27940074653611,46.85917219188012]}"
1_1_1_1_1_1_1_11,0.03779250000000001,0.036087499999999995,0.029349999999999987,0.025444999999999995,0.016369999999999996,0.016177499999999984,openWater,46.89226343135487,-91.24678508491502,"{""type"":""Point"",""coordinates"":[-91.24678508491502,46.89226343135488]}"
1_1_1_1_1_1_1_12,0.037325,0.039580000000000004,0.02599499999999999,0.02162249999999999,0.018735,0.012657499999999988,openWater,46.90399301243548,-91.14825145454392,"{""type"":""Point"",""coordinates"":[-91.14825145454392,46.90399301243548]}"
1_1_1_1_1_1_1_13,0.03915374999999999,0.037366250000000004,0.027149999999999994,0.024014999999999995,0.018418749999999998,0.012575000000000003,openWater,46.8333421612485,-91.40746013374314,"{""type"":""Point"",""coordinates"":[-91.40746013374314,46.8333421612485]}"
1_1_1_1_1_1_1_14,0.042948749999999994,0.034932500000000005,0.021842499999999987,0.022433750000000002,0.015379999999999991,0.008821250000000003,openWater,46.7850598927461,-91.48186296946042,"{""type"":""Point"",""coordinates"":[-91.48186296946042,46.7850598927461]}"
1_1_1_1_1_1_1_15,0.038919999999999996,0.038823750000000004,0.024895,0.022309999999999997,0.015352500000000005,0.012368749999999998,openWater,46.77882975727706,-91.51877016550534,"{""type"":""Point"",""coordinates"":[-91.51877016550534,46.77882975727706]}"
1_1_1_1_1_1_1_16,0.0357025,0.035977499999999996,0.0262975,0.025444999999999995,0.01879,0.019587500000000008,openWater,46.752112425124544,-90.56092233255971,"{""type"":""Point"",""coordinates"":[-90.56092233255971,46.752112425124544]}"
1_1_1_1_1_1_1_17,0.032072500000000004,0.037902500000000006,0.024826249999999994,0.02570625,0.017731250000000004,0.01627374999999999,openWater,46.71022527473834,-90.61997384623159,"{""type"":""Point"",""coordinates"":[-90.61997384623159,46.71022527473834]}"
1_1_1_1_1_1_1_18,0.03204499999999999,0.035977499999999996,0.026324999999999987,0.021897499999999986,0.01634250000000001,0.016122499999999984,openWater,46.7295256436847,-90.41810006693471,"{""type"":""Point"",""coordinates"":[-90.41810006693471,46.7295256436847]}"
1_1_1_1_1_1_1_19,0.028359999999999996,0.035977499999999996,0.026324999999999987,0.02547250000000001,0.018762499999999988,0.012657499999999988,openWater,46.77563026089252,-90.30068368509878,"{""type"":""Point"",""coordinates"":[-90.30068368509878,46.77563026089252]}"
1_1_1_1_1_1_1_20,0.030230000000000007,0.032196249999999996,0.024826249999999994,0.027548749999999997,0.014018749999999996,0.012767499999999987,openWater,46.69185998008939,-90.49775094584096,"{""type"":""Point"",""coordinates"":[-90.49775094584096,46.69185998008938]}"
1_1_1_1_1_1_1_21,0.034464999999999996,0.0325675,0.020439999999999986,0.022062499999999985,0.013977500000000004,0.009247499999999992,openWater,47.13433558345811,-90.7083162124822,"{""type"":""Point"",""coordinates"":[-90.7083162124822,47.13433558345811]}"
1_1_1_1_1_1_1_22,0.030917499999999987,0.028854999999999992,0.020494999999999985,0.01848749999999999,0.013977500000000004,0.012740000000000001,openWater,47.13013140557482,-90.92186296541189,"{""type"":""Point"",""coordinates"":[-90.92186296541189,47.13013140557483]}"
1_1_1_1_1_1_1_23,0.032539999999999986,0.032539999999999986,0.0234925,0.018460000000000004,0.01394999999999999,0.012712499999999988,openWater,47.12359091271333,-90.52635515291189,"{""type"":""Point"",""coordinates"":[-90.52635515291189,47.12359091271333]}"
1_1_1_1_1_1_1_24,0.03281500000000001,0.028854999999999992,0.017414999999999986,0.01848749999999999,0.011557499999999998,0.019697500000000007,openWater,47.253750887525804,-90.86229879699333,"{""type"":""Point"",""coordinates"":[-90.86229879699333,47.2537508875258]}"
1_1_1_1_1_1_1_25,0.036390000000000006,0.028827500000000006,0.0204675,0.02209,0.016424999999999995,0.012740000000000001,openWater,47.26493520558503,-90.59313375793083,"{""type"":""Point"",""coordinates"":[-90.59313375793083,47.26493520558503]}"
1_1_1_1_1_1_1_26,0.032759999999999984,0.0326775,0.017414999999999986,0.01848749999999999,0.013977500000000004,0.012740000000000001,openWater,47.20059311129208,-90.8005007012902,"{""type"":""Point"",""coordinates"":[-90.8005007012902,47.20059311129208]}"
1_1_1_1_1_1_1_27,0.03449250000000001,0.040212499999999984,0.0265725,0.022062499999999985,0.013977500000000004,0.012712499999999988,openWater,47.063957544996306,-90.86332876525505,"{""type"":""Point"",""coordinates"":[-90.86332876525505,47.0639575449963]}"
1_1_1_1_1_1_1_28,0.03089,0.028827500000000006,0.0235475,0.02209,0.013977500000000004,0.023162500000000003,openWater,47.072843679008905,-90.96083242736442,"{""type"":""Point"",""coordinates"":[-90.96083242736442,47.07284367900891]}"
1_1_1_1_1_1_1_29,0.0323475,0.03237499999999999,0.026434999999999986,0.02198,0.01639750000000001,0.019642500000000007,openWater,47.10880281169421,-90.19131006429846,"{""type"":""Point"",""coordinates"":[-90.19131006429846,47.10880281169421]}"
1_1_1_1_1_1_1_30,0.034162499999999985,0.0324025,0.026434999999999986,0.02198,0.018817499999999987,0.016149999999999998,openWater,47.082859308321474,-90.26237787435706,"{""type"":""Point"",""coordinates"":[-90.26237787435706,47.08285930832148]}"
1_1_1_1_1_1_1_31,0.03237499999999999,0.03242999999999999,0.023409999999999986,0.02198,0.021292499999999992,0.019642500000000007,openWater,47.11230772110162,-90.35164179037268,"{""type"":""Point"",""coordinates"":[-90.3516417903727,47.11230772110162]}"
1_1_1_1_1_1_1_32,0.0323475,0.028607500000000008,0.023409999999999986,0.025582500000000008,0.01639750000000001,0.012685000000000002,openWater,47.12422268664525,-90.2870971126383,"{""type"":""Point"",""coordinates"":[-90.2870971126383,47.124222686645254]}"
1_1_1_1_1_1_1_33,0.034135,0.02855250000000001,0.023354999999999987,0.02198,0.016369999999999996,0.016149999999999998,openWater,47.05152328389841,-90.33172907064612,"{""type"":""Point"",""coordinates"":[-90.33172907064612,47.05152328389841]}"
1_1_1_1_1_1_1_34,0.03611500000000001,0.028689999999999993,0.0234375,0.022007499999999985,0.018845,0.019642500000000007,openWater,47.20731950906935,-90.20298303793128,"{""type"":""Point"",""coordinates"":[-90.20298303793128,47.20731950906936]}"
1_1_1_1_1_1_1_35,0.032539999999999986,0.0325125,0.023464999999999986,0.022062499999999985,0.013977500000000004,0.016177499999999984,openWater,47.22784026013189,-90.35541834066565,"{""type"":""Point"",""coordinates"":[-90.35541834066565,47.22784026013189]}"
1_1_1_1_1_1_1_36,0.0321825,0.0322925,0.023354999999999987,0.02907499999999999,0.016369999999999996,0.012685000000000002,openWater,46.970759936113986,-90.2043563289469,"{""type"":""Point"",""coordinates"":[-90.2043563289469,46.97075993611398]}"
1_1_1_1_1_1_1_37,0.030340000000000006,0.0322925,0.029404999999999987,0.025499999999999995,0.013922500000000004,0.012657499999999988,openWater,46.88166184791493,-90.34443201254065,"{""type"":""Point"",""coordinates"":[-90.34443201254065,46.88166184791493]}"
1_1_1_1_1_1_1_38,0.034052499999999986,0.03611500000000001,0.0294325,0.025499999999999995,0.016369999999999996,0.016149999999999998,openWater,46.970759936113986,-90.3746444148844,"{""type"":""Point"",""coordinates"":[-90.37464441488441,46.97075993611398]}"
1_1_1_1_1_1_1_39,0.03388749999999999,0.036032499999999995,0.0293775,0.02547250000000001,0.01879,0.023052500000000004,openWater,46.89667821979854,-90.1494246883219,"{""type"":""Point"",""coordinates"":[-90.1494246883219,46.89667821979854]}"
1_1_1_1_1_1_2_0,0.05592875,0.06921125,0.045698749999999996,0.03219625000000001,0.019917500000000005,0.01217625,lightNearShoreSediment,46.74316037627246,-91.64848290806336,"{""type"":""Point"",""coordinates"":[-91.64848290806336,46.74316037627247]}"
1_1_1_1_1_1_2_1,0.05828,0.061277499999999985,0.03940125,0.032375,0.014898749999999988,0.015819999999999987,lightNearShoreSediment,46.750217977081924,-91.6398998392157,"{""type"":""Point"",""coordinates"":[-91.6398998392157,46.750217977081924]}"
1_1_1_1_1_1_2_2,0.08118750000000002,0.10357250000000001,0.08248,0.04106499999999999,0.02162249999999999,0.01186000000000001,lightNearShoreSediment,46.72012160453323,-91.97745076640471,"{""type"":""Point"",""coordinates"":[-91.97745076640473,46.72012160453324]}"
