system:index,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,lat,lon,.geo
1_1_1_1_1_1_1_0,0.04624874999999999,0.05588750000000001,0.04070750000000001,0.06162124999999999,0.029611249999999992,0.02284625,openWater,46.89474346528445,-91.87791247900901,"{""type"":""Point"",""coordinates"":[-91.87791247900901,46.89474346528444]}"
1_1_1_1_1_1_1_1,0.039263749999999986,0.056684999999999985,0.03420374999999999,0.03648625,0.02294249999999999,0.02092124999999999,openWater,46.83183208113791,-91.82469745215354,"{""type"":""Point"",""coordinates"":[-91.82469745215354,46.83183208113791]}"
1_1_1_1_1_1_1_2,0.0355925,0.04144999999999999,0.024510000000000004,0.034135,0.018295000000000006,0.014444999999999986,openWater,47.03632758227797,-91.3735496485681,"{""type"":""Point"",""coordinates"":[-91.3735496485681,47.03632758227796]}"
1_1_1_1_1_1_1_3,0.05320624999999998,0.062157500000000004,0.0462075,0.05201,0.03780625,0.02649,openWater,46.653518753688,-90.49050062399917,"{""type"":""Point"",""coordinates"":[-90.49050062399917,46.653518753688]}"
1_1_1_1_1_1_1_4,0.055323750000000005,0.06654375000000001,0.04616624999999999,0.05403125,0.03644499999999999,0.03401124999999999,openWater,46.64527003632761,-90.48432081442886,"{""type"":""Point"",""coordinates"":[-90.48432081442886,46.64527003632762]}"
1_1_1_1_1_1_2_0,0.05228499999999997,0.08110499999999998,0.08237,0.06317499999999998,0.0233825,0.022997500000000004,lightNearShoreSediment,46.72229823105832,-92.01384058223151,"{""type"":""Point"",""coordinates"":[-92.01384058223151,46.72229823105832]}"
1_1_1_1_1_1_2_1,0.059242499999999976,0.09455249999999998,0.10360000000000003,0.067465,0.023409999999999986,0.019174999999999998,lightNearShoreSediment,46.708704491165896,-91.96483125911139,"{""type"":""Point"",""coordinates"":[-91.96483125911139,46.708704491165896]}"
1_1_1_1_1_1_2_2,0.06202000000000002,0.09925499999999998,0.11075000000000002,0.07601750000000002,0.026187500000000002,0.023052500000000004,lightNearShoreSediment,46.69071837982203,-91.90486331519065,"{""type"":""Point"",""coordinates"":[-91.90486331519065,46.69071837982203]}"
1_1_1_1_1_1_2_3,0.059655000000000014,0.09471750000000001,0.10720249999999998,0.07178249999999997,0.023464999999999986,0.019202499999999983,lightNearShoreSediment,46.68895211955234,-91.918252902593,"{""type"":""Point"",""coordinates"":[-91.918252902593,46.68895211955234]}"
1_1_1_1_1_1_2_4,0.07072375,0.09909000000000001,0.08256249999999998,0.06328500000000001,0.03417624999999999,0.022956249999999997,lightNearShoreSediment,46.73285598592372,-91.73783679541526,"{""type"":""Point"",""coordinates"":[-91.73783679541526,46.73285598592372]}"
