system:index,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,lat,lon,.geo
1_1_1_1_1_1_1_0,0.04820125,0.0418075,0.03489125,0.050305,0.03465750000000001,0.03171499999999999,openWater,46.81332777741748,-91.9855192909843,"{""type"":""Point"",""coordinates"":[-91.9855192909843,46.81332777741748]}"
1_1_1_1_1_1_1_1,0.048187499999999994,0.047926250000000004,0.034905000000000005,0.04490124999999999,0.034602499999999994,0.026654999999999998,openWater,46.81661715006075,-91.85848987203899,"{""type"":""Point"",""coordinates"":[-91.85848987203899,46.81661715006075]}"
1_1_1_1_1_1_1_2,0.026269999999999988,0.02082500000000001,0.01854249999999999,0.022832500000000006,0.014692499999999997,0.017112500000000003,openWater,46.968179387252384,-91.68545520407024,"{""type"":""Point"",""coordinates"":[-91.68545520407024,46.96817938725239]}"
1_1_1_1_1_1_1_3,0.0562725,0.04681250000000001,0.04362250000000001,0.04997499999999999,0.03814999999999999,0.03174250000000001,openWater,46.71878994944767,-91.97659289938274,"{""type"":""Point"",""coordinates"":[-91.97659289938274,46.71878994944767]}"
1_1_1_1_1_1_1_4,0.05114374999999999,0.0442825,0.03698124999999999,0.038122500000000004,0.0278375,0.021732499999999988,openWater,46.80157837547986,-91.69575488668742,"{""type"":""Point"",""coordinates"":[-91.69575488668742,46.80157837547987]}"
1_1_1_1_1_1_1_5,0.020632499999999998,0.020907499999999996,0.018625000000000003,0.017744999999999983,0.014719999999999983,0.007294999999999996,openWater,46.99207111588252,-91.62571704489055,"{""type"":""Point"",""coordinates"":[-91.62571704489055,46.99207111588252]}"
1_1_1_1_1_1_1_6,0.02296999999999999,0.015792499999999987,0.0058374999999999955,0.006085000000000007,0.005424999999999985,-0.001862500000000017,openWater,47.25351130739776,-91.08474758898721,"{""type"":""Point"",""coordinates"":[-91.08474758898721,47.25351130739776]}"
1_1_1_1_1_1_1_7,0.014719999999999983,0.015710000000000002,0.005699999999999983,0.011007500000000003,-0.0013400000000000079,0.0029224999999999945,openWater,47.23999370974145,-91.20079067980753,"{""type"":""Point"",""coordinates"":[-91.20079067980753,47.23999370974145]}"
1_1_1_1_1_1_1_8,0.02541750000000001,0.01562749999999999,0.010072499999999984,0.01097999999999999,0.005424999999999985,0.0029224999999999945,openWater,47.215746620115304,-91.08886746203409,"{""type"":""Point"",""coordinates"":[-91.08886746203409,47.21574662011531]}"
1_1_1_1_1_1_1_9,0.02530750000000001,0.015572499999999989,0.010044999999999998,0.010952500000000004,0.005424999999999985,0.0077625000000000055,openWater,47.116778298483,-91.14517239367471,"{""type"":""Point"",""coordinates"":[-91.14517239367471,47.116778298483]}"
1_1_1_1_1_1_1_10,0.027205000000000007,0.02156749999999999,0.010099999999999998,0.007872500000000004,0.0011074999999999835,0.002454999999999985,openWater,47.01668928001915,-91.52214077746378,"{""type"":""Point"",""coordinates"":[-91.52214077746378,47.01668928001914]}"
1_1_1_1_1_1_1_11,0.014499999999999985,0.007982500000000003,0.008394999999999986,0.008642499999999997,0.01029250000000001,0.0018225000000000047,openWater,46.92063334558499,-91.17881802355753,"{""type"":""Point"",""coordinates"":[-91.17881802355753,46.920633345584996]}"
1_1_1_1_1_1_1_12,0.01747,0.010512499999999994,0.0012724999999999959,0.00495749999999999,0.00717124999999999,-0.0028662500000000007,openWater,46.72005806807862,-90.5514606152491,"{""type"":""Point"",""coordinates"":[-90.55146061524911,46.72005806807862]}"
1_1_1_1_1_1_1_13,0.009316249999999998,0.0023587500000000067,0.001684999999999992,0.005260000000000001,0.0055074999999999985,-0.0027975000000000083,openWater,46.700989765382914,-90.47180973634285,"{""type"":""Point"",""coordinates"":[-90.47180973634285,46.70098976538292]}"
1_1_1_1_1_1_1_14,0.008133749999999995,0.006511249999999996,0.0028262500000000024,8.874999999999994E-4,-0.0027699999999999947,0.0021662499999999946,openWater,46.691099845106805,-90.37155949220222,"{""type"":""Point"",""coordinates"":[-90.37155949220222,46.691099845106805]}"
1_1_1_1_1_1_1_15,0.012740000000000001,0.009027500000000008,0.004668749999999999,0.004091249999999991,0.003500000000000003,0.006813749999999993,openWater,46.70711118928743,-90.59677921876472,"{""type"":""Point"",""coordinates"":[-90.59677921876472,46.70711118928743]}"
1_1_1_1_1_1_1_16,0.013785000000000006,0.01220375,0.007308749999999989,0.005988749999999987,6.399999999999878E-4,-0.0026737500000000164,openWater,46.691570834764,-90.39559208497566,"{""type"":""Point"",""coordinates"":[-90.39559208497568,46.691570834764]}"
1_1_1_1_1_1_1_17,0.013014999999999999,0.010209999999999997,0.005644999999999983,0.00789999999999999,0.0011349999999999971,0.012245000000000006,openWater,47.15186690054283,-90.8902741575863,"{""type"":""Point"",""coordinates"":[-90.8902741575863,47.15186690054283]}"
1_1_1_1_1_1_1_18,0.013014999999999999,0.010237499999999983,0.005699999999999983,0.002840000000000009,0.007982500000000003,-0.002412500000000012,openWater,47.12757951667374,-90.8023835325863,"{""type"":""Point"",""coordinates"":[-90.8023835325863,47.12757951667375]}"
1_1_1_1_1_1_1_19,0.027947499999999986,0.015792499999999987,0.010264999999999996,0.011144999999999988,0.005479999999999985,0.007789999999999991,openWater,47.052779512917795,-90.50300609118005,"{""type"":""Point"",""coordinates"":[-90.50300609118007,47.0527795129178]}"
1_1_1_1_1_1_1_20,0.012712499999999988,0.010017499999999985,0.005534999999999984,0.0027299999999999824,0.004517500000000008,0.002454999999999985,openWater,47.11075867470235,-90.78178416735193,"{""type"":""Point"",""coordinates"":[-90.78178416735193,47.11075867470236]}"
1_1_1_1_1_1_1_21,0.020082500000000003,0.017057500000000003,0.011089999999999989,0.008587499999999998,0.008147500000000002,0.0074325000000000085,openWater,47.101411464666086,-90.9561921263363,"{""type"":""Point"",""coordinates"":[-90.9561921263363,47.10141146466609]}"
