system:index,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,class,lat,lon,.geo
1_1_1_1_1_1_1_0,0.006497499999999989,0.014101249999999996,0.00307375,-1.9875000000001142E-4,0.004311249999999989,0.004104999999999984,openWater,46.77417338800594,-92.06428995849876,"{""type"":""Point"",""coordinates"":[-92.06428995849876,46.77417338800595]}"
1_1_1_1_1_1_1_1,0.0076662499999999995,0.010209999999999997,-0.0012712500000000015,-0.002316250000000006,0.0030462500000000003,0.0034587499999999965,openWater,46.88832697932063,-91.8521164965847,"{""type"":""Point"",""coordinates"":[-91.8521164965847,46.88832697932064]}"
1_1_1_1_1_1_1_2,0.010471250000000001,0.011859999999999996,-4.4624999999999526E-4,-0.0024812500000000043,0.002331249999999993,0.002950000000000008,openWater,46.8296362783069,-91.86378947021751,"{""type"":""Point"",""coordinates"":[-91.86378947021751,46.8296362783069]}"
1_1_1_1_1_1_1_3,0.008065000000000003,0.010306249999999989,-7.762500000000061E-4,-0.0016012499999999985,0.0046412499999999995,0.004916249999999997,openWater,46.884103392032884,-91.62552347900657,"{""type"":""Point"",""coordinates"":[-91.62552347900657,46.884103392032884]}"
1_1_1_1_1_1_1_4,0.007487499999999994,0.009027499999999994,-6.93749999999993E-4,-0.001436250000000014,0.0038025000000000003,0.004668749999999999,openWater,46.92913784559286,-91.60698405029564,"{""type"":""Point"",""coordinates"":[-91.60698405029564,46.92913784559286]}"
1_1_1_1_1_1_1_5,0.005809999999999996,0.006222499999999992,-0.0017662500000000109,-0.0021375000000000005,0.0029362500000000014,0.0036650000000000016,openWater,46.947891035055754,-91.68045511963157,"{""type"":""Point"",""coordinates"":[-91.68045511963157,46.947891035055754]}"
1_1_1_1_1_1_1_6,0.006827499999999986,0.009302499999999991,-0.001532500000000006,-0.0024675000000000114,0.0035687499999999955,0.0041187499999999905,openWater,46.832924653291165,-91.61247721435814,"{""type"":""Point"",""coordinates"":[-91.61247721435814,46.832924653291165]}"
1_1_1_1_1_1_1_7,0.0059474999999999945,0.0062500000000000056,-0.0012850000000000084,-0.0020275000000000154,0.00341749999999999,0.004407500000000009,openWater,47.04939677688517,-91.29747568306672,"{""type"":""Point"",""coordinates"":[-91.29747568306672,47.049396776885175]}"
1_1_1_1_1_1_1_8,0.008064999999999989,0.007624999999999993,3.374999999999906E-4,-4.325000000000023E-4,0.0030324999999999935,0.0035550000000000026,openWater,47.03805001397999,-91.42673669991242,"{""type"":""Point"",""coordinates"":[-91.42673669991242,47.03805001397999]}"
1_1_1_1_1_1_1_9,0.0062500000000000056,0.009385000000000004,5.024999999999891E-4,5.024999999999891E-4,0.006607499999999988,0.0072399999999999964,openWater,47.012189097495664,-91.3927477472757,"{""type"":""Point"",""coordinates"":[-91.3927477472757,47.01218909749567]}"
1_1_1_1_1_1_1_10,0.0055074999999999985,0.004792500000000005,-0.0019175000000000164,-0.0017800000000000038,0.002867499999999995,0.0032524999999999915,openWater,47.22046658205604,-91.12914156039308,"{""type"":""Point"",""coordinates"":[-91.12914156039308,47.22046658205605]}"
1_1_1_1_1_1_1_11,0.0070199999999999985,0.009550000000000003,2.550000000000052E-4,3.924999999999901E-4,0.006415000000000004,0.0071299999999999975,openWater,47.02891605933344,-91.06734346468996,"{""type"":""Point"",""coordinates"":[-91.06734346468996,47.02891605933344]}"
1_1_1_1_1_1_1_12,0.007597500000000007,0.011529999999999985,1.4500000000000624E-4,-8.174999999999988E-4,0.005122500000000002,0.005699999999999983,openWater,46.960538823895,-91.51228975375246,"{""type"":""Point"",""coordinates"":[-91.51228975375246,46.960538823895]}"
1_1_1_1_1_1_1_13,0.005920000000000009,0.007679999999999992,-7.900000000000129E-4,-9.000000000000119E-4,0.0043249999999999955,0.004847500000000005,openWater,47.043891161553624,-91.1744601639087,"{""type"":""Point"",""coordinates"":[-91.1744601639087,47.04389116155363]}"
1_1_1_1_1_1_1_14,-0.003952499999999998,0.0064700000000000035,-0.003265000000000018,-7.624999999999993E-4,0.008449999999999985,0.009605000000000002,openWater,46.809422842832426,-90.45980995162877,"{""type"":""Point"",""coordinates"":[-90.45980995162877,46.809422842832426]}"
1_1_1_1_1_1_1_15,0.0045449999999999935,0.011419999999999986,4.750000000000032E-4,-7.499999999999174E-5,0.006415000000000004,0.006497499999999989,openWater,46.80096291796086,-90.55319374069127,"{""type"":""Point"",""coordinates"":[-90.55319374069127,46.80096291796087]}"
1_1_1_1_1_1_1_16,0.007391249999999988,0.0158475,0.0017400000000000054,-3.0874999999999653E-4,0.004943749999999997,0.004888749999999997,openWater,46.73370624278715,-90.70631568893346,"{""type"":""Point"",""coordinates"":[-90.70631568893346,46.73370624278715]}"
1_1_1_1_1_1_1_17,0.01770374999999999,0.026215000000000002,0.008972499999999994,0.007102499999999984,0.008491249999999992,0.00722624999999999,openWater,46.79814264734915,-90.80107276901158,"{""type"":""Point"",""coordinates"":[-90.80107276901158,46.79814264734915]}"
1_1_1_1_1_1_1_18,0.005892499999999995,0.008862499999999995,-3.5000000000001696E-4,-5.700000000000149E-4,0.005479999999999985,0.00644249999999999,openWater,47.1258100986462,-90.72651231843923,"{""type"":""Point"",""coordinates"":[-90.72651231843923,47.1258100986462]}"
1_1_1_1_1_1_1_19,0.00644249999999999,0.006992499999999985,-0.0015324999999999922,-0.0020000000000000018,0.00341749999999999,0.004132499999999983,openWater,47.13795558143321,-90.93628252107595,"{""type"":""Point"",""coordinates"":[-90.93628252107595,47.13795558143321]}"
1_1_1_1_1_1_1_20,0.006662499999999988,0.008119999999999988,-3.7750000000000283E-4,-6.800000000000139E-4,0.004049999999999998,0.004599999999999993,openWater,47.1685405604089,-90.77492082674001,"{""type"":""Point"",""coordinates"":[-90.77492082674001,47.16854056040889]}"
1_1_1_1_1_1_1_21,0.005534999999999984,0.006552499999999989,-0.0010100000000000109,-0.0014224999999999932,0.002867499999999995,0.003087499999999993,openWater,47.12954746569459,-90.50575578767751,"{""type"":""Point"",""coordinates"":[-90.50575578767751,47.12954746569459]}"
1_1_1_1_1_1_1_22,0.0065800000000000025,0.008972499999999994,-9.000000000000119E-4,-0.0015050000000000063,0.0034724999999999895,0.00429750000000001,openWater,47.067379629607736,-90.67295396882986,"{""type"":""Point"",""coordinates"":[-90.67295396882986,47.06737962960774]}"
1_1_1_1_1_1_1_23,0.00878000000000001,0.016232499999999983,0.005259999999999987,0.006112499999999993,0.011227500000000001,0.010594999999999993,openWater,46.960140796785275,-90.60703600007986,"{""type"":""Point"",""coordinates"":[-90.60703600007986,46.96014079678527]}"
1_1_1_1_1_1_1_24,0.007157499999999983,0.010622500000000007,0.0035550000000000026,0.004049999999999998,0.009770000000000001,0.009962499999999985,openWater,47.22077981200779,-90.32301009803828,"{""type"":""Point"",""coordinates"":[-90.32301009803828,47.2207798120078]}"
1_1_1_1_1_1_1_25,0.0062500000000000056,0.0083125,0.001794999999999991,0.0020425000000000026,0.00726750000000001,0.007212499999999983,openWater,47.2659967135647,-90.42944015174922,"{""type"":""Point"",""coordinates"":[-90.42944015174922,47.265996713564704]}"
1_1_1_1_1_1_1_26,0.007569999999999993,0.010457500000000008,0.003390000000000004,0.0033350000000000046,0.008587499999999998,0.008504999999999985,openWater,47.176457806579585,-90.42394698768672,"{""type"":""Point"",""coordinates"":[-90.42394698768672,47.176457806579585]}"
1_1_1_1_1_1_1_27,0.004022499999999984,0.007569999999999993,7.774999999999865E-4,0.0013825000000000087,0.007074999999999998,0.00789999999999999,openWater,47.090040271906055,-90.23855270057734,"{""type"":""Point"",""coordinates"":[-90.23855270057734,47.09004027190605]}"
1_1_1_1_1_1_1_28,0.008092500000000002,0.011364999999999986,0.005369999999999986,0.006415000000000004,0.011419999999999986,0.01180500000000001,openWater,47.247821361388084,-90.1705747953039,"{""type"":""Point"",""coordinates"":[-90.1705747953039,47.247821361388084]}"
1_1_1_1_1_1_2_0,0.01806125,0.03995125000000001,0.026448749999999993,-4.4625000000000914E-4,0.0027437499999999893,0.00307375,lightNearShoreSediment,46.7240805557007,-91.93026395159637,"{""type"":""Point"",""coordinates"":[-91.93026395159637,46.724080555700716]}"
1_1_1_1_1_1_2_1,0.01652125,0.03243,0.013152499999999998,-9.412500000000046E-4,0.002950000000000008,0.0033487499999999976,lightNearShoreSediment,46.73114065402486,-91.96802945452606,"{""type"":""Point"",""coordinates"":[-91.96802945452606,46.73114065402486]}"
1_1_1_1_1_1_2_2,0.013454999999999995,0.04050125,0.030147499999999994,-0.002082500000000001,0.002523750000000005,0.0034587499999999965,lightNearShoreSediment,46.70901592412161,-91.89661832171356,"{""type"":""Point"",""coordinates"":[-91.89661832171356,46.709015924121616]}"
1_1_1_1_1_1_2_3,0.017112500000000003,0.04122999999999999,0.02408375,-0.0011337500000000167,0.003500000000000003,0.004256249999999989,lightNearShoreSediment,46.720079423130436,-91.84477658587372,"{""type"":""Point"",""coordinates"":[-91.84477658587372,46.720079423130436]}"
1_1_1_1_1_1_2_4,0.014293749999999994,0.0398825,0.026682499999999998,-0.0017250000000000043,0.002771249999999989,0.0036787499999999945,lightNearShoreSediment,46.71749029687574,-91.86777921038544,"{""type"":""Point"",""coordinates"":[-91.86777921038544,46.71749029687574]}"
1_1_1_1_1_1_2_5,0.01960125,0.04008874999999999,0.018968749999999993,-6.249999999999312E-6,0.003527499999999989,0.0037887499999999935,lightNearShoreSediment,46.72337449504428,-91.80838437395965,"{""type"":""Point"",""coordinates"":[-91.80838437395965,46.72337449504428]}"
1_1_1_1_1_1_2_6,0.025527499999999995,0.05445750000000002,0.032979999999999995,1.0374999999999968E-4,0.0027299999999999824,0.002991250000000001,lightNearShoreSediment,46.72337449504428,-91.73113675433075,"{""type"":""Point"",""coordinates"":[-91.73113675433075,46.72337449504428]}"
1_1_1_1_1_1_2_7,0.021154999999999993,0.041835,0.015861249999999993,-8.587500000000053E-4,0.002757499999999996,0.00307375,lightNearShoreSediment,46.731611294390746,-91.70538754778778,"{""type"":""Point"",""coordinates"":[-91.70538754778778,46.73161129439075]}"
1_1_1_1_1_1_2_8,0.017689999999999997,0.033323749999999985,0.009027499999999994,-0.0020000000000000157,0.002674999999999983,0.00307375,lightNearShoreSediment,46.74478755723136,-91.67517514544403,"{""type"":""Point"",""coordinates"":[-91.67517514544403,46.74478755723136]}"
1_1_1_1_1_1_2_9,0.020233749999999995,0.04286625000000001,0.020013749999999997,-8.725000000000122E-4,0.0027987500000000026,0.003197499999999992,lightNearShoreSediment,46.74172906889701,-91.66418881731903,"{""type"":""Point"",""coordinates"":[-91.66418881731903,46.74172906889701]}"
1_1_1_1_1_1_2_10,0.02103125,0.03946999999999999,0.011736250000000004,-0.0012987500000000013,0.0034450000000000036,0.003843749999999993,lightNearShoreSediment,46.77230614426907,-91.57252164202606,"{""type"":""Point"",""coordinates"":[-91.57252164202606,46.77230614426907]}"
1_1_1_1_1_1_2_11,0.018363749999999998,0.033530000000000004,0.00873874999999999,-0.0011887500000000023,0.0036650000000000016,0.003967499999999985,lightNearShoreSediment,46.777714128110084,-91.5855679066745,"{""type"":""Point"",""coordinates"":[-91.5855679066745,46.77771412811009]}"
1_1_1_1_1_1_2_12,0.020371249999999994,0.039057499999999995,0.012671249999999995,-0.0010512500000000036,0.003610000000000002,0.0035550000000000026,lightNearShoreSediment,46.7633700245585,-91.59037442522919,"{""type"":""Point"",""coordinates"":[-91.59037442522919,46.7633700245585]}"
1_1_1_1_1_1_2_13,0.023080000000000003,0.0473075,0.0221175,4.612499999999964E-4,0.004091249999999991,0.004256249999999989,lightNearShoreSediment,46.77181507740578,-91.50473665316652,"{""type"":""Point"",""coordinates"":[-91.50473665316652,46.771815077405776]}"
1_1_1_1_1_1_2_14,0.011309999999999987,0.02889625,0.013963749999999997,3.512499999999974E-4,0.005150000000000002,0.0060437500000000005,lightNearShoreSediment,46.81553404398884,-91.53014253695558,"{""type"":""Point"",""coordinates"":[-91.53014253695558,46.81553404398884]}"
1_1_1_1_1_1_2_15,0.012698749999999995,0.029844999999999997,0.015792499999999987,7.087499999999941E-4,0.005232500000000001,0.005878750000000002,lightNearShoreSediment,46.82164246813405,-91.54868196566652,"{""type"":""Point"",""coordinates"":[-91.54868196566652,46.82164246813405]}"
